pfile,n_lm,time
1,14.0,0.000185612
2,13.0,0.0002659125
3,14.0,0.000202507
4,17.0,0.00030977399999999997
5,16.0,0.0002795855
6,19.0,0.0003144885
7,23.0,0.00043561100000000003
8,22.0,0.0003384765
9,23.0,0.00045639300000000003
10,27.0,0.0006199595
11,25.0,0.0005359265
12,25.0,0.0005418135
13,28.0,0.000595988
14,27.0,0.0006278760000000001
15,30.0,0.0006290085
16,33.0,0.0010227035
17,33.0,0.0010754800000000002
18,35.0,0.0010805049999999998
19,38.0,0.0013778800000000002
20,39.0,0.001203815
21,39.0,0.00136826
22,39.0,0.00141806
23,43.0,0.00121016
24,39.0,0.00151715
25,45.0,0.00197357
26,46.0,0.00220089
27,50.0,0.0024253449999999998
28,51.0,0.002542585
29,51.0,0.00268556
30,55.0,0.00233483
31,57.0,0.002916625
32,57.0,0.0038854249999999996
33,63.0,0.00439583
34,58.0,0.004732705
35,67.0,0.004148499999999999
36,67.0,0.005283335
37,67.0,0.0058076099999999995
38,68.0,0.006752370000000001
39,69.0,0.0081856
40,71.0,0.007314675
41,75.0,0.00903082
42,75.0,0.009963745
43,80.0,0.0118318
44,79.0,0.01132275
45,85.0,0.009541235
46,87.0,0.01036105
47,89.0,0.0119775
48,89.0,0.0107703
49,91.0,0.01124085
50,91.0,0.0135966
51,97.0,0.01474725
52,95.0,0.0176651
53,97.0,0.01483825
54,103.0,0.0200899
55,107.0,0.01458645
56,105.0,0.02298275
57,105.0,0.01801895
58,111.0,0.02051935
59,108.0,0.01798
60,115.0,0.03280695
61,116.0,0.01873
62,117.0,0.024667
63,117.0,0.027993999999999998
64,123.0,0.028284
65,125.0,0.02341935
66,127.0,0.04185805
67,128.0,0.03279765
68,130.0,0.03492355
69,135.0,0.05432125
70,133.0,0.0363156
71,135.0,0.0360936
72,137.0,0.05286585
73,143.0,0.0445056
74,143.0,0.06119935
75,147.0,0.0674903
76,147.0,0.045533149999999994
77,148.0,0.06089915
78,151.0,0.0468194
79,155.0,0.0551779
80,155.0,0.06030194999999999
81,159.0,0.06930215
82,157.0,0.089673945
83,162.0,0.0648625
84,159.0,0.056752399999999995
85,165.0,0.0554923
86,163.0,0.1093095
87,166.0,0.06548795
88,169.0,0.1071175
89,175.0,0.09108959999999999
90,175.0,0.08898745
91,179.0,0.109656
92,175.0,0.09852564999999999
93,183.0,0.06561375
94,181.0,0.13446580000000002
95,185.0,0.09970875
96,187.0,0.07102445
97,191.0,0.118632
98,187.0,0.10487350000000001
99,193.0,0.09257775
100,191.0,0.09641235000000001
101,199.0,0.09226285000000001
102,199.0,0.11708350000000001
