pfile,runs,n_lm,time
1,1,14,0.000188504
1,2,14,0.00018272
2,1,13,0.000270447
2,2,13,0.000261378
3,1,14,0.000195969
3,2,14,0.000209045
4,1,17,0.000322312
4,2,17,0.000297236
5,1,16,0.000286666
5,2,16,0.000272505
6,1,19,0.000312822
6,2,19,0.000316155
7,1,23,0.000432855
7,2,23,0.000438367
8,1,22,0.000333232
8,2,22,0.000343721
9,1,23,0.000453117
9,2,23,0.000459669
10,1,27,0.000631484
10,2,27,0.000608435
11,1,25,0.000530343
11,2,25,0.00054151
12,1,25,0.000544252
12,2,25,0.000539375
13,1,28,0.000620554
13,2,28,0.000571422
14,1,27,0.000637514
14,2,27,0.000618238
15,1,30,0.000651061
15,2,30,0.000606956
16,1,33,0.000989547
16,2,33,0.00105586
17,1,33,0.00109489
17,2,33,0.00105607
18,1,35,0.00114416
18,2,35,0.00101685
19,1,38,0.00135182
19,2,38,0.00140394
20,1,39,0.00121465
20,2,39,0.00119298
21,1,39,0.00138804
21,2,39,0.00134848
22,1,39,0.0014381
22,2,39,0.00139802
23,1,43,0.0012013
23,2,43,0.00121902
24,1,39,0.00149469
24,2,39,0.00153961
25,1,45,0.00199869
25,2,45,0.00194845
26,1,46,0.00205431
26,2,46,0.00234747
27,1,50,0.00241867
27,2,50,0.00243202
28,1,51,0.002561
28,2,51,0.00252417
29,1,51,0.0026875
29,2,51,0.00268362
30,1,55,0.00239085
30,2,55,0.00227881
31,1,57,0.00293077
31,2,57,0.00290248
32,1,57,0.00397625
32,2,57,0.0037946
33,1,63,0.00426651
33,2,63,0.00452515
34,1,58,0.00459069
34,2,58,0.00487472
35,1,67,0.00412925
35,2,67,0.00416775
36,1,67,0.00525319
36,2,67,0.00531348
37,1,67,0.00570937
37,2,67,0.00590585
38,1,68,0.00673141
38,2,68,0.00677333
39,1,69,0.00819054
39,2,69,0.00818066
40,1,71,0.00744867
40,2,71,0.00718068
41,1,75,0.00899936
41,2,75,0.00906228
42,1,75,0.0101047
42,2,75,0.00982279
43,1,80,0.0120825
43,2,80,0.0115811
44,1,79,0.0113849
44,2,79,0.0112606
45,1,85,0.00955218
45,2,85,0.00953029
46,1,87,0.0103096
46,2,87,0.0104125
47,1,89,0.0118744
47,2,89,0.0120806
48,1,89,0.0107064
48,2,89,0.0108342
49,1,91,0.0114429
49,2,91,0.0110388
50,1,91,0.0135804
50,2,91,0.0136128
51,1,97,0.0149373
51,2,97,0.0145572
52,1,95,0.0178246
52,2,95,0.0175056
53,1,97,0.0149344
53,2,97,0.0147421
54,1,103,0.0169718
54,2,103,0.023208
55,1,107,0.0142857
55,2,107,0.0148872
56,1,105,0.0230662
56,2,105,0.0228993
57,1,105,0.0179893
57,2,105,0.0180486
58,1,111,0.0206536
58,2,111,0.0203851
59,1,108,0.017719
59,2,108,0.018241
60,1,115,0.0329397
60,2,115,0.0326742
61,1,116,0.019019
61,2,116,0.018441
62,1,117,0.0252495
62,2,117,0.0240845
63,1,117,0.0280096
63,2,117,0.0279784
64,1,123,0.028007
64,2,123,0.028561
65,1,125,0.0240319
65,2,125,0.0228068
66,1,127,0.0428853
66,2,127,0.0408308
67,1,128,0.0348418
67,2,128,0.0307535
68,1,130,0.0349351
68,2,130,0.034912
69,1,135,0.0547297
69,2,135,0.0539128
70,1,133,0.0363931
70,2,133,0.0362381
71,1,135,0.0365463
71,2,135,0.0356409
72,1,137,0.0525543
72,2,137,0.0531774
73,1,143,0.0439369
73,2,143,0.0450743
74,1,143,0.0609291
74,2,143,0.0614696
75,1,147,0.0677275
75,2,147,0.0672531
76,1,147,0.0455309
76,2,147,0.0455354
77,1,148,0.0606852
77,2,148,0.0611131
78,1,151,0.0468662
78,2,151,0.0467726
79,1,155,0.0534543
79,2,155,0.0569015
80,1,155,0.0625766
80,2,155,0.0580273
81,1,159,0.0688517
81,2,159,0.0697526
82,1,157,0.0893398
82,2,157,0.09000809
83,1,162,0.066386
83,2,162,0.063339
84,1,159,0.0561987
84,2,159,0.0573061
85,1,165,0.0557725
85,2,165,0.0552121
86,1,163,0.110184
86,2,163,0.108435
87,1,166,0.0664994
87,2,166,0.0644765
88,1,169,0.106436
88,2,169,0.107799
89,1,175,0.0950339
89,2,175,0.0871453
90,1,175,0.0899479
90,2,175,0.088027
91,1,179,0.110535
91,2,179,0.108777
92,1,175,0.0981629
92,2,175,0.0988884
93,1,183,0.0663085
93,2,183,0.064919
94,1,181,0.135393
94,2,181,0.1335386
95,1,185,0.0991035
95,2,185,0.100314
96,1,187,0.0707832
96,2,187,0.0712657
97,1,191,0.118622
97,2,191,0.118642
98,1,187,0.105493
98,2,187,0.104254
99,1,193,0.091902
99,2,193,0.0932535
100,1,191,0.0961639
100,2,191,0.0966608
101,1,199,0.0921233
101,2,199,0.0924024
102,1,199,0.118442
102,2,199,0.115725
