problem,compiled,extract_type,time,problem_size,n_landmarks
1,False,backward,0.094930887,4.0,20.0
1,False,forward,0.218681661,4.0,14.0
1,False,noncausal,0.0020732646666666668,4.0,14.0
1,True,backward,0.033182341250000004,4.0,20.0
1,True,forward,0.34524084174999997,4.0,14.0
1,True,noncausal,0.009498372,4.0,14.0
2,False,backward,0.0021110076666666666,4.0,20.0
2,False,forward,0.0011660643333333335,4.0,13.0
2,False,noncausal,0.002114384333333333,4.0,13.0
2,True,backward,0.031942449,4.0,20.0
2,True,forward,0.33628558775,4.0,13.0
2,True,noncausal,0.0095481355,4.0,13.0
3,False,backward,0.0020554093333333334,4.0,21.0
3,False,forward,0.0011128626666666666,4.0,14.0
3,False,noncausal,0.0021103433333333334,4.0,14.0
3,True,backward,0.032886399999999996,4.0,21.0
3,True,forward,0.34863199225,4.0,14.0
3,True,noncausal,0.009656409000000001,4.0,14.0
4,False,backward,0.002719974333333333,5.0,26.0
4,False,forward,0.0014228239999999998,5.0,17.0
4,False,noncausal,0.0029465370000000004,5.0,17.0
4,True,backward,0.03415045125,5.0,26.0
4,True,forward,0.33775659825000004,5.0,17.0
4,True,noncausal,0.010466155999999999,5.0,17.0
5,False,backward,0.002713224,5.0,24.0
5,False,forward,0.0014897613333333334,5.0,16.0
5,False,noncausal,0.002842902333333333,5.0,16.0
5,True,backward,0.032898596,5.0,24.0
5,True,forward,0.33898628649999996,5.0,16.0
5,True,noncausal,0.010269012749999999,5.0,16.0
6,False,backward,0.002969625333333333,5.0,31.0
6,False,forward,0.0014972956666666666,5.0,19.0
6,False,noncausal,0.0030902396666666666,5.0,19.0
6,True,backward,0.03357274725,5.0,31.0
6,True,forward,0.34073218625,5.0,19.0
6,True,noncausal,0.010680727749999999,5.0,19.0
7,False,backward,0.0038481893333333333,6.0,37.0
7,False,forward,0.001836822,6.0,23.0
7,False,noncausal,0.004243522,6.0,23.0
7,True,backward,0.035699406249999996,6.0,37.0
7,True,forward,0.33853322249999995,6.0,23.0
7,True,noncausal,0.01160965775,6.0,23.0
8,False,backward,0.0035568246666666664,6.0,33.0
8,False,forward,0.0018177763333333333,6.0,22.0
8,False,noncausal,0.004274423666666667,6.0,22.0
8,True,backward,0.0345831075,6.0,33.0
8,True,forward,0.33782142475,6.0,22.0
8,True,noncausal,0.011566228750000001,6.0,22.0
9,False,backward,0.0042223976666666664,6.0,38.0
9,False,forward,0.001892377,6.0,23.0
9,False,noncausal,0.004499217333333333,6.0,23.0
9,True,backward,0.03529068825,6.0,38.0
9,True,forward,0.33841080325,6.0,23.0
9,True,noncausal,0.01192634875,6.0,23.0
10,False,backward,0.005740669,7.0,45.0
10,False,forward,0.0023714416666666665,7.0,27.0
10,False,noncausal,0.005960992333333334,7.0,27.0
10,True,backward,0.037838131,7.0,45.0
10,True,forward,0.33520942825,7.0,27.0
10,True,noncausal,0.013509508,7.0,27.0
11,False,backward,0.006109798,7.0,40.0
11,False,forward,0.002273106,7.0,25.0
11,False,noncausal,0.005668087333333333,7.0,25.0
11,True,backward,0.036367481,7.0,40.0
11,True,forward,0.34069367925,7.0,25.0
11,True,noncausal,0.01277506775,7.0,25.0
12,False,backward,0.005107800666666666,7.0,40.0
12,False,forward,0.0023142226666666666,7.0,25.0
12,False,noncausal,0.005317476666666667,7.0,25.0
12,True,backward,0.03559134725,7.0,40.0
12,True,forward,0.34553669725,7.0,25.0
12,True,noncausal,0.0130613135,7.0,25.0
13,False,backward,0.006318445333333333,8.0,44.0
13,False,forward,0.0027828363333333335,8.0,28.0
13,False,noncausal,0.007144920333333333,8.0,28.0
13,True,backward,0.03870402825,8.0,44.0
13,True,forward,0.33833258899999996,8.0,28.0
13,True,noncausal,0.01441730325,8.0,28.0
14,False,backward,0.006023810333333333,8.0,41.0
14,False,forward,0.0027646696666666667,8.0,27.0
14,False,noncausal,0.006954952,8.0,27.0
14,True,backward,0.03722873225,8.0,41.0
14,True,forward,0.33519711775,8.0,27.0
14,True,noncausal,0.014321823,8.0,27.0
15,False,backward,0.006491883666666667,8.0,47.0
15,False,forward,0.002750596666666667,8.0,30.0
15,False,noncausal,0.007516552333333333,8.0,30.0
15,True,backward,0.037714718749999994,8.0,47.0
15,True,forward,0.3385631845,8.0,30.0
15,True,noncausal,0.0149957175,8.0,30.0
16,False,backward,0.009130317333333334,9.0,54.0
16,False,forward,0.0035170226666666666,9.0,33.0
16,False,noncausal,0.009520706666666667,9.0,33.0
16,True,backward,0.0419022105,9.0,54.0
16,True,forward,0.33784505724999997,9.0,33.0
16,True,noncausal,0.01686765275,9.0,33.0
17,False,backward,0.009732777666666666,9.0,55.0
17,False,forward,0.0035675929999999995,9.0,33.0
17,False,noncausal,0.009710740333333334,9.0,33.0
17,True,backward,0.0418980375,9.0,55.0
17,True,forward,0.33803923925,9.0,33.0
17,True,noncausal,0.0179377205,9.0,33.0
18,False,backward,0.009540238333333333,9.0,58.0
18,False,forward,0.0035500876666666667,9.0,35.0
18,False,noncausal,0.010007158333333334,9.0,35.0
18,True,backward,0.04148751725,9.0,58.0
18,True,forward,0.33705796075,9.0,35.0
18,True,noncausal,0.017778081,9.0,35.0
19,False,backward,0.012337711666666668,10.0,64.0
19,False,forward,0.004271553333333333,10.0,38.0
19,False,noncausal,0.012772199333333333,10.0,38.0
19,True,backward,0.045762236,10.0,64.0
19,True,forward,0.33910062325,10.0,38.0
19,True,noncausal,0.020550133749999998,10.0,38.0
20,False,backward,0.012122208333333334,10.0,65.0
20,False,forward,0.0042063023333333335,10.0,39.0
20,False,noncausal,0.013098861000000002,10.0,39.0
20,True,backward,0.044749625749999994,10.0,65.0
20,True,forward,0.33888474599999996,10.0,39.0
20,True,noncausal,0.02110548475,10.0,39.0
21,False,backward,0.012513686666666668,10.0,65.0
21,False,forward,0.004234424666666667,10.0,39.0
21,False,noncausal,0.013089718666666667,10.0,39.0
21,True,backward,0.04481894425,10.0,65.0
21,True,forward,0.34094566025,10.0,39.0
21,True,noncausal,0.02087406825,10.0,39.0
22,False,backward,0.015839955666666666,11.0,63.0
22,False,forward,0.004924828,11.0,39.0
22,False,noncausal,0.016557641,11.0,39.0
22,True,backward,0.0488494025,11.0,63.0
22,True,forward,0.33936394550000004,11.0,39.0
22,True,noncausal,0.02370755925,11.0,39.0
23,False,backward,0.01575249466666667,11.0,70.0
23,False,forward,0.005224175333333333,11.0,43.0
23,False,noncausal,0.016824236,11.0,43.0
23,True,backward,0.04718113375,11.0,70.0
23,True,forward,0.339395694,11.0,43.0
23,True,noncausal,0.025003267,11.0,43.0
24,False,backward,0.014677142333333332,11.0,64.0
24,False,forward,0.004972630333333333,11.0,39.0
24,False,noncausal,0.016900336333333335,11.0,39.0
24,True,backward,0.0484059455,11.0,64.0
24,True,forward,0.3407293825,11.0,39.0
24,True,noncausal,0.024124904500000002,11.0,39.0
25,False,backward,0.018468931999999997,12.0,74.0
25,False,forward,0.005973512,12.0,45.0
25,False,noncausal,0.021978277666666667,12.0,45.0
25,True,backward,0.0538472845,12.0,74.0
25,True,forward,0.34254705175,12.0,45.0
25,True,noncausal,0.02895731275,12.0,45.0
26,False,backward,0.021299487000000002,12.0,78.0
26,False,forward,0.006012455666666666,12.0,46.0
26,False,noncausal,0.021250479666666666,12.0,46.0
26,True,backward,0.053900821249999994,12.0,78.0
26,True,forward,0.343598095,12.0,46.0
26,True,noncausal,0.029203175,12.0,46.0
27,False,backward,0.023464515333333335,13.0,84.0
27,False,forward,0.0070703246666666665,13.0,50.0
27,False,noncausal,0.027037244666666668,13.0,50.0
27,True,backward,0.057952815750000004,13.0,84.0
27,True,forward,0.34381169875,13.0,50.0
27,True,noncausal,0.034974089,13.0,50.0
28,False,backward,0.025681622333333334,13.0,86.0
28,False,forward,0.007443255333333333,13.0,51.0
28,False,noncausal,0.027758565333333332,13.0,51.0
28,True,backward,0.058033257500000004,13.0,86.0
28,True,forward,0.343910252,13.0,51.0
28,True,noncausal,0.03479333975,13.0,51.0
29,False,backward,0.026689250999999997,14.0,84.0
29,False,forward,0.007965153333333334,14.0,51.0
29,False,noncausal,0.031343063,14.0,51.0
29,True,backward,0.061405126,14.0,84.0
29,True,forward,0.343238208,14.0,51.0
29,True,noncausal,0.038343962999999995,14.0,51.0
30,False,backward,0.026845982,14.0,90.0
30,False,forward,0.007585047,14.0,55.0
30,False,noncausal,0.03314427566666667,14.0,55.0
30,True,backward,0.05996539775,14.0,90.0
30,True,forward,0.343077974,14.0,55.0
30,True,noncausal,0.04083136225,14.0,55.0
31,False,backward,0.03100084,15.0,93.0
31,False,forward,0.008602961333333334,15.0,57.0
31,False,noncausal,0.03835077333333334,15.0,57.0
31,True,backward,0.065523469,15.0,93.0
31,True,forward,0.3457086385,15.0,57.0
31,True,noncausal,0.04564457275,15.0,57.0
32,False,backward,0.034806022666666665,15.0,96.0
32,False,forward,0.00978605,15.0,57.0
32,False,noncausal,0.03850500366666667,15.0,57.0
32,True,backward,0.06892821099999999,15.0,96.0
32,True,forward,0.34655239499999996,15.0,57.0
32,True,noncausal,0.04642574625,15.0,57.0
33,False,backward,0.041242025,16.0,106.0
33,False,forward,0.010411350666666666,16.0,63.0
33,False,noncausal,0.04705713066666667,16.0,63.0
33,True,backward,0.07733949700000001,16.0,106.0
33,True,forward,0.34793657775000003,16.0,63.0
33,True,noncausal,0.062963724,16.0,63.0
34,False,backward,0.040148664,16.0,98.0
34,False,forward,0.017532376,16.0,58.0
34,False,noncausal,0.045220489333333336,16.0,58.0
34,True,backward,0.07335844675,16.0,98.0
34,True,forward,0.34906149350000004,16.0,58.0
34,True,noncausal,0.0535730975,16.0,58.0
35,False,backward,0.044311286666666665,17.0,111.0
35,False,forward,0.018549772333333332,17.0,67.0
35,False,noncausal,0.056212694333333334,17.0,67.0
35,True,backward,0.08220655225,17.0,111.0
35,True,forward,0.348399442,17.0,67.0
35,True,noncausal,0.07507346300000001,17.0,67.0
36,False,backward,0.05081984366666667,17.0,113.0
36,False,forward,0.019160384666666665,17.0,67.0
36,False,noncausal,0.06637151866666667,17.0,67.0
36,True,backward,0.08293255100000001,17.0,113.0
36,True,forward,0.34896807675,17.0,67.0
36,True,noncausal,0.0739803295,17.0,67.0
37,False,backward,0.051692047,18.0,112.0
37,False,forward,0.020512461333333332,18.0,67.0
37,False,noncausal,0.061237227000000005,18.0,67.0
37,True,backward,0.087954325,18.0,112.0
37,True,forward,0.34956891175,18.0,67.0
37,True,noncausal,0.06932118525,18.0,67.0
38,False,backward,0.055200559,18.0,115.0
38,False,forward,0.020659079,18.0,68.0
38,False,noncausal,0.064992831,18.0,68.0
38,True,backward,0.09065814425,18.0,115.0
38,True,forward,0.35132061425,18.0,68.0
38,True,noncausal,0.070506023,18.0,68.0
39,False,backward,0.06300246633333333,19.0,115.0
39,False,forward,0.022449199666666666,19.0,69.0
39,False,noncausal,0.07433011233333332,19.0,69.0
39,True,backward,0.104373419,19.0,115.0
39,True,forward,0.35188253375,19.0,69.0
39,True,noncausal,0.07797062475,19.0,69.0
40,False,backward,0.06536965766666666,19.0,119.0
40,False,forward,0.022115460666666666,19.0,71.0
40,False,noncausal,0.07208100033333333,19.0,71.0
40,True,backward,0.10024351325,19.0,119.0
40,True,forward,0.35258281700000005,19.0,71.0
40,True,noncausal,0.08035352700000001,19.0,71.0
41,False,backward,0.07143264533333334,20.0,126.0
41,False,forward,0.02379658633333333,20.0,75.0
41,False,noncausal,0.08546886066666666,20.0,75.0
41,True,backward,0.1143125855,20.0,126.0
41,True,forward,0.35129727175,20.0,75.0
41,True,noncausal,0.09372932175,20.0,75.0
42,False,backward,0.07440478533333333,20.0,127.0
42,False,forward,0.024255824999999998,20.0,75.0
42,False,noncausal,0.08644216466666667,20.0,75.0
42,True,backward,0.11645582825,20.0,127.0
42,True,forward,0.35378905675,20.0,75.0
42,True,noncausal,0.09412373075,20.0,75.0
43,False,backward,0.098891947,21.0,137.0
43,False,forward,0.01891335,21.0,80.0
43,False,noncausal,0.10034664566666666,21.0,80.0
43,True,backward,0.1362196605,21.0,137.0
43,True,forward,0.35782503375,21.0,80.0
43,True,noncausal,0.11348739199999999,21.0,80.0
44,False,backward,0.085224225,21.0,133.0
44,False,forward,0.026072943,21.0,79.0
44,False,noncausal,0.09859812466666666,21.0,79.0
44,True,backward,0.1266514385,21.0,133.0
44,True,forward,0.35465985275,21.0,79.0
44,True,noncausal,0.11150078575,21.0,79.0
45,False,backward,0.09243622733333333,22.0,143.0
45,False,forward,0.019096518333333333,22.0,85.0
45,False,noncausal,0.13146048866666668,22.0,85.0
45,True,backward,0.136166381,22.0,143.0
45,True,forward,0.35638288225000003,22.0,85.0
45,True,noncausal,0.14016123349999998,22.0,85.0
46,False,backward,0.09404260566666667,22.0,146.0
46,False,forward,0.020278869333333335,22.0,87.0
46,False,noncausal,0.13314592866666666,22.0,87.0
46,True,backward,0.13524500225,22.0,146.0
46,True,forward,0.357077644,22.0,87.0
46,True,noncausal,0.13987435850000002,22.0,87.0
47,False,backward,0.12247537333333335,23.0,149.0
47,False,forward,0.020629649666666666,23.0,89.0
47,False,noncausal,0.14624697466666667,23.0,89.0
47,True,backward,0.16164284675,23.0,149.0
47,True,forward,0.359437713,23.0,89.0
47,True,noncausal,0.15440022975,23.0,89.0
48,False,backward,0.121172872,23.0,149.0
48,False,forward,0.028161743666666666,23.0,89.0
48,False,noncausal,0.14699887333333334,23.0,89.0
48,True,backward,0.16645617024999998,23.0,149.0
48,True,forward,0.358796047,23.0,89.0
48,True,noncausal,0.15558112200000002,23.0,89.0
49,False,backward,0.12997971933333333,24.0,152.0
49,False,forward,0.022665898333333333,24.0,91.0
49,False,noncausal,0.157910898,24.0,91.0
49,True,backward,0.17825456225,24.0,152.0
49,True,forward,0.36128365325,24.0,91.0
49,True,noncausal,0.1684245115,24.0,91.0
50,False,backward,0.1635971066666667,24.0,155.0
50,False,forward,0.023696214000000004,24.0,91.0
50,False,noncausal,0.16257054299999998,24.0,91.0
50,True,backward,0.178383619,24.0,155.0
50,True,forward,0.39445011575,24.0,91.0
50,True,noncausal,0.1675768465,24.0,91.0
51,False,backward,0.158932,25.0,164.0
51,False,forward,0.025408722666666664,25.0,97.0
51,False,noncausal,0.18043091833333333,25.0,97.0
51,True,backward,0.19266931,25.0,164.0
51,True,forward,0.365790658,25.0,97.0
51,True,noncausal,0.18924610349999998,25.0,97.0
52,False,backward,0.15447793633333332,25.0,161.0
52,False,forward,0.026232358333333334,25.0,95.0
52,False,noncausal,0.203150592,25.0,95.0
52,True,backward,0.20385419375,25.0,161.0
52,True,forward,0.36431428775,25.0,95.0
52,True,noncausal,0.227829877,25.0,95.0
53,False,backward,0.15885883533333334,26.0,162.0
53,False,forward,0.026814724666666668,26.0,97.0
53,False,noncausal,0.19267109233333335,26.0,97.0
53,True,backward,0.19881488475,26.0,162.0
53,True,forward,0.35727678674999996,26.0,97.0
53,True,noncausal,0.19965524575,26.0,97.0
54,False,backward,0.16750060266666666,26.0,173.0
54,False,forward,0.025980255999999997,26.0,103.0
54,False,noncausal,0.20156109366666666,26.0,103.0
54,True,backward,0.208989684,26.0,173.0
54,True,forward,0.36278100199999996,26.0,103.0
54,True,noncausal,0.209831779,26.0,103.0
55,False,backward,0.178794902,27.0,180.0
55,False,forward,0.02795732366666667,27.0,107.0
55,False,noncausal,0.25481505866666665,27.0,107.0
55,True,backward,0.22843096024999998,27.0,180.0
55,True,forward,0.37349295800000004,27.0,107.0
55,True,noncausal,0.262909331,27.0,107.0
56,False,backward,0.20046337299999997,27.0,180.0
56,False,forward,0.029885590333333333,27.0,105.0
56,False,noncausal,0.225656875,27.0,105.0
56,True,backward,0.24258861975,27.0,180.0
56,True,forward,0.36914947875,27.0,105.0
56,True,noncausal,0.24204290099999998,27.0,105.0
57,False,backward,0.195460462,28.0,177.0
57,False,forward,0.03106790233333333,28.0,105.0
57,False,noncausal,0.26193237533333336,28.0,105.0
57,True,backward,0.247285262,28.0,177.0
57,True,forward,0.36946706775,28.0,105.0
57,True,noncausal,0.27664589325,28.0,105.0
58,False,backward,0.214546561,28.0,190.0
58,False,forward,0.031823243333333334,28.0,111.0
58,False,noncausal,0.2770512373333333,28.0,111.0
58,True,backward,0.2595867735,28.0,190.0
58,True,forward,0.371372804,28.0,111.0
58,True,noncausal,0.2910208965,28.0,111.0
59,False,backward,0.20732616333333334,29.0,180.0
59,False,forward,0.03255291766666667,29.0,108.0
59,False,noncausal,0.2902655726666667,29.0,108.0
59,True,backward,0.254935338,29.0,180.0
59,True,forward,0.37096834275,29.0,108.0
59,True,noncausal,0.304424465,29.0,108.0
60,False,backward,0.2746067716666667,29.0,198.0
60,False,forward,0.037006905,29.0,115.0
60,False,noncausal,0.304112479,29.0,115.0
60,True,backward,0.31365580925000003,29.0,198.0
60,True,forward,0.37788410424999996,29.0,115.0
60,True,noncausal,0.31643098425,29.0,115.0
61,False,backward,0.233057798,30.0,195.0
61,False,forward,0.03505468666666667,30.0,116.0
61,False,noncausal,0.32080939566666666,30.0,116.0
61,True,backward,0.2981684385,30.0,195.0
61,True,forward,0.408467421,30.0,116.0
61,True,noncausal,0.33333819775,30.0,116.0
62,False,backward,0.2946119853333333,30.0,200.0
62,False,forward,0.03695829766666667,30.0,117.0
62,False,noncausal,0.3211542143333333,30.0,117.0
62,True,backward,0.3174678955,30.0,200.0
62,True,forward,0.38603533074999996,30.0,117.0
62,True,noncausal,0.33076102175,30.0,117.0
63,False,backward,0.292612099,31.0,199.0
63,False,forward,0.03880250466666666,31.0,117.0
63,False,noncausal,0.349483118,31.0,117.0
63,True,backward,0.33775750475,31.0,199.0
63,True,forward,0.38265639525,31.0,117.0
63,True,noncausal,0.35671171275,31.0,117.0
64,False,backward,0.2975159883333333,31.0,209.0
64,False,forward,0.039061166333333334,31.0,123.0
64,False,noncausal,0.35735062,31.0,123.0
64,True,backward,0.343580665,31.0,209.0
64,True,forward,0.38143430725,31.0,123.0
64,True,noncausal,0.370418478,31.0,123.0
65,False,backward,0.30043309599999996,32.0,209.0
65,False,forward,0.039251201,32.0,125.0
65,False,noncausal,0.39631888066666665,32.0,125.0
65,True,backward,0.353902531,32.0,209.0
65,True,forward,0.39010352174999996,32.0,125.0
65,True,noncausal,0.42181733825,32.0,125.0
66,False,backward,0.35304960933333335,32.0,219.0
66,False,forward,0.04460498133333333,32.0,127.0
66,False,noncausal,0.39782986766666667,32.0,127.0
66,True,backward,0.4067617175,32.0,219.0
66,True,forward,0.3893073245,32.0,127.0
66,True,noncausal,0.4133663825,32.0,127.0
67,False,backward,0.35422774666666673,33.0,219.0
67,False,forward,0.054153365333333335,33.0,128.0
67,False,noncausal,0.4557152113333333,33.0,128.0
67,True,backward,0.423130149,33.0,219.0
67,True,forward,0.38237551025000005,33.0,128.0
67,True,noncausal,0.48025588025,33.0,128.0
68,False,backward,0.364931528,33.0,221.0
68,False,forward,0.045701360999999996,33.0,130.0
68,False,noncausal,0.47172507133333336,33.0,130.0
68,True,backward,0.42558268625,33.0,221.0
68,True,forward,0.39016012975,33.0,130.0
68,True,noncausal,0.484081456,33.0,130.0
69,False,backward,0.45628666700000003,34.0,233.0
69,False,forward,0.061451051,34.0,135.0
69,False,noncausal,0.505095604,34.0,135.0
69,True,backward,0.51939090025,34.0,233.0
69,True,forward,0.42068927075,34.0,135.0
69,True,noncausal,0.537678099,34.0,135.0
70,False,backward,0.4005552376666666,34.0,228.0
70,False,forward,0.04772619,34.0,133.0
70,False,noncausal,0.5058418113333333,34.0,133.0
