pfile,n_lm,time
1,29.0,0.0187459
2,29.0,0.0150049
3,29.0,0.0148672
4,29.0,0.01465615
5,29.0,0.0160335
6,41.0,0.03429485
7,41.0,0.02818735
8,41.0,0.0279794
9,41.0,0.0272657
10,41.0,0.0286492
11,52.0,0.05654315
12,53.0,0.044108800000000004
13,53.0,0.04507305
14,53.0,0.043081499999999995
15,53.0,0.0446332
16,65.0,0.08309645
17,65.0,0.06094625
18,65.0,0.06685265
19,65.0,0.0834749
20,65.0,0.08434905000000001
21,77.0,0.0860045
22,77.0,0.0810121
23,77.0,0.107407
24,77.0,0.0841729
25,77.0,0.11518049999999999
26,89.0,0.1474915
27,89.0,0.1807455
28,89.0,0.144288
29,89.0,0.14833000000000002
30,89.0,0.17886449999999998
31,101.0,0.195598
32,102.0,0.14398149999999998
33,101.0,0.2001385
34,101.0,0.18588500000000002
35,101.0,0.18719550000000001
36,113.0,0.289037
37,114.0,0.2312425
38,113.0,0.23059400000000002
39,113.0,0.232152
40,113.0,0.22982350000000001
41,126.0,0.2702055
42,126.0,0.21038600000000002
43,125.0,0.2974475
44,125.0,0.287976
45,125.0,0.286951
46,138.0,0.337801
47,138.0,0.33535000000000004
48,137.0,0.395274
49,137.0,0.42277699999999996
50,138.0,0.324982
51,150.0,0.31355500000000003
52,150.0,0.3832795
53,149.0,0.5232865
54,150.0,0.300402
55,150.0,0.38928850000000004
56,162.0,0.35319
57,162.0,0.351293
58,162.0,0.345398
59,162.0,0.3447935
60,162.0,0.348712
