domain,problem,problem_size,compiled,run,time,n_landmarks,extract_type
Grid,1,38,false,1,4.627216869,16,forward
Grid,1,38,false,2,0.348634082,16,forward
Grid,1,38,false,3,0.345662992,16,forward
Grid,1,38,false,1,2.631548782,73,backward
Grid,1,38,false,2,0.404525783,73,backward
Grid,1,38,false,3,0.401144549,73,backward
Grid,1,38,false,1,0.620073295,16,noncausal
Grid,1,38,false,2,0.435497508,16,noncausal
Grid,1,38,false,3,0.43183117,16,noncausal
Grid,1,38,true,1,1.998899447,16,forward
Grid,1,38,true,2,0.371377827,16,forward
Grid,1,38,true,3,0.373402817,16,forward
Grid,1,38,true,4,0.373265192,16,forward
Grid,1,38,true,1,0.494909751,74,backward
Grid,1,38,true,2,0.42884436,74,backward
Grid,1,38,true,3,0.430488609,74,backward
Grid,1,38,true,4,0.430063449,74,backward
Grid,1,38,true,1,0.488446117,16,noncausal
Grid,1,38,true,2,0.452079144,16,noncausal
Grid,1,38,true,3,0.452941054,16,noncausal
Grid,1,38,true,4,0.452779398,16,noncausal
Grid,2,50,false,1,0.96186346,19,forward
Grid,2,50,false,2,0.920910282,19,forward
Grid,2,50,false,3,0.926792243,19,forward
Grid,2,50,false,1,1.017163533,67,backward
Grid,2,50,false,2,1.020622936,67,backward
Grid,2,50,false,3,1.020238504,67,backward
Grid,2,50,false,1,1.109089524,19,noncausal
Grid,2,50,false,2,1.108871881,19,noncausal
Grid,2,50,false,3,1.10561393,19,noncausal
Grid,2,50,true,1,2.785714597,19,forward
Grid,2,50,true,2,1.023407375,19,forward
Grid,2,50,true,3,1.050489202,19,forward
Grid,2,50,true,4,1.043596891,19,forward
Grid,2,50,true,1,1.207652659,68,backward
Grid,2,50,true,2,1.200074157,68,backward
Grid,2,50,true,3,1.136173997,68,backward
Grid,2,50,true,4,1.118210532,68,backward
Grid,2,50,true,1,1.217987908,19,noncausal
Grid,2,50,true,2,1.180969249,19,noncausal
Grid,2,50,true,3,1.180788754,19,noncausal
Grid,2,50,true,4,1.182737789,19,noncausal
Grid,3,64,false,1,2.217134747,32,forward
Grid,3,64,false,2,2.186675933,32,forward
Grid,3,64,false,3,2.20709102,32,forward
Grid,3,64,false,1,2.512103696,98,backward
Grid,3,64,false,2,2.481358416,98,backward
Grid,3,64,false,3,2.479790378,98,backward
Grid,3,64,false,1,2.713647223,32,noncausal
Grid,3,64,false,2,2.810470005,32,noncausal
Grid,3,64,false,3,2.732824461,32,noncausal
Grid,3,64,true,1,4.073061378,32,forward
Grid,3,64,true,2,2.355625731,32,forward
Grid,3,64,true,3,2.356651885,32,forward
Grid,3,64,true,4,2.358278892,32,forward
Grid,3,64,true,1,2.71582006,99,backward
Grid,3,64,true,2,2.631315413,99,backward
Grid,3,64,true,3,2.628188865,99,backward
Grid,3,64,true,4,2.626727112,99,backward
Grid,3,64,true,1,2.915883971,32,noncausal
Grid,3,64,true,2,2.891875962,32,noncausal
Grid,3,64,true,3,2.886063545,32,noncausal
Grid,3,64,true,4,2.889560893,32,noncausal
Grid,4,80,false,1,5.654828039,24,forward
Grid,4,80,false,2,6.054278864,24,forward
Grid,4,80,false,3,5.574216934,24,forward
Grid,4,80,false,1,6.046800778,103,backward
Grid,4,80,false,2,6.087857697,103,backward
Grid,4,80,false,3,6.180215593,103,backward
Grid,4,80,false,1,6.398716724,24,noncausal
Grid,4,80,false,2,6.421818602,24,noncausal
Grid,4,80,false,3,6.38431099,24,noncausal
Grid,4,80,true,1,7.916033231,24,forward
Grid,4,80,true,2,6.011584099,24,forward
Grid,4,80,true,3,6.010953429,24,forward
Grid,4,80,true,4,6.383102583,24,forward
Grid,4,80,true,1,7.005044742,104,backward
Grid,4,80,true,2,6.719814884,104,backward
Grid,4,80,true,3,6.69313847,104,backward
Grid,4,80,true,4,6.695215707,104,backward
Grid,4,80,true,1,6.959646371,24,noncausal
Grid,4,80,true,2,6.794869857,24,noncausal
Grid,4,80,true,3,6.805125495,24,noncausal
Grid,4,80,true,4,6.77425123,24,noncausal
Grid,5,98,false,1,17.554489175,57,forward
Grid,5,98,false,2,17.151703824,57,forward
Grid,5,98,false,3,17.032893006,57,forward
Grid,5,98,false,1,18.669862716,176,backward
Grid,5,98,false,2,18.357324051,176,backward
Grid,5,98,false,3,18.15089514,176,backward
Grid,5,98,false,1,19.504215838,57,noncausal
Grid,5,98,false,2,19.361111294,57,noncausal
Grid,5,98,false,3,19.66447698,57,noncausal
Grid,5,98,true,1,20.117481987,57,forward
Grid,5,98,true,2,18.258915808,57,forward
Grid,5,98,true,3,18.194792849,57,forward
Grid,5,98,true,4,18.254217072,57,forward
Grid,5,98,true,1,19.577476751,177,backward
Grid,5,98,true,2,20.036926596,177,backward
Grid,5,98,true,3,19.812553372,177,backward
Grid,5,98,true,4,19.806947639,177,backward
Grid,5,98,true,1,20.711989838,57,noncausal
Grid,5,98,true,2,20.906239432,57,noncausal
Grid,5,98,true,3,20.907691889,57,noncausal
Grid,5,98,true,4,20.917365172,57,noncausal
