pfile,runs,n_lm,time
1,1,10,0.00014531
1,2,10,0.000141835
2,1,14,0.000194646
2,2,14,0.000171419
3,1,18,0.00021808
3,2,18,0.000216296
4,1,22,0.000273253
4,2,22,0.000270903
5,1,26,0.000302138
5,2,26,0.00029565
6,1,30,0.000314313
6,2,30,0.000343057
7,1,34,0.000368487
7,2,34,0.000372705
8,1,38,0.000421739
8,2,38,0.000506998
9,1,42,0.000500492
9,2,42,0.000489737
10,1,46,0.000545579
10,2,46,0.000607271
11,1,50,0.000631357
11,2,50,0.000683675
12,1,54,0.000755859
12,2,54,0.000683845
13,1,58,0.00075937
13,2,58,0.000749038
14,1,62,0.00081447
14,2,62,0.000822745
15,1,66,0.000902296
15,2,66,0.000965692
16,1,70,0.0010892
16,2,70,0.00098101
17,1,74,0.00113195
17,2,74,0.00105804
18,1,78,0.00126684
18,2,78,0.00128263
19,1,82,0.00122845
19,2,82,0.00120377
20,1,86,0.00130275
20,2,86,0.00129867
