pfile,runs,n_lm,time
1,1,26,0.00021
1,2,26,0.000228
2,1,24,0.000214
2,2,24,0.00023
3,1,20,0.000242
3,2,20,0.000191
4,1,33,0.000283
4,2,33,0.000274
5,1,23,0.000237
5,2,23,0.000253
6,1,15,0.000231
6,2,15,0.000222
7,1,32,0.000264
7,2,32,0.000278
8,1,22,0.000249
8,2,22,0.000268
9,1,32,0.0003
9,2,32,0.000295
10,1,30,0.00028
10,2,30,0.000274
11,1,44,0.000423
11,2,44,0.000416
12,1,50,0.000499
12,2,50,0.000452
13,1,41,0.000516
13,2,41,0.000513
14,1,53,0.000498
14,2,53,0.00056
15,1,46,0.000543
15,2,46,0.00053
16,1,42,0.00052
16,2,42,0.000519
17,1,56,0.000744
17,2,56,0.000771
18,1,54,0.000805
18,2,54,0.000814
19,1,1,0.000062
19,2,1,0.000063
20,1,71,0.000933
20,2,71,0.000998
21,1,56,0.000889
21,2,56,0.000876
22,1,80,0.001035
22,2,80,0.001137
23,1,70,0.001705
23,2,70,0.001599
24,1,62,0.001599
24,2,62,0.001629
25,1,62,0.001544
25,2,62,0.001553
26,1,71,0.001667
26,2,71,0.001644
27,1,75,0.0019
27,2,75,0.001786
28,1,68,0.001699
28,2,68,0.00169
29,1,25,0.000805
29,2,25,0.000863
30,1,26,0.001652
30,2,26,0.001601
31,1,52,0.004305
31,2,52,0.004401
32,1,41,0.006515
32,2,41,0.006634
33,1,84,0.002572
33,2,84,0.002755
34,1,80,0.002641
34,2,80,0.002539
35,1,90,0.002823
35,2,90,0.003082
36,1,88,0.002726
36,2,88,0.002684
37,1,109,0.003486
37,2,109,0.003424
38,1,79,0.002821
38,2,79,0.002741
39,1,97,0.003621
39,2,97,0.003702
40,1,92,0.003516
40,2,92,0.003646
41,1,105,0.003948
41,2,105,0.00384
42,1,100,0.003802
42,2,100,0.003767
43,1,106,0.004037
43,2,106,0.004048
44,1,100,0.003869
44,2,100,0.004038
45,1,108,0.00486
45,2,108,0.004894
46,1,106,0.004804
46,2,106,0.004737
47,1,112,0.005144
47,2,112,0.005181
48,1,102,0.004976
48,2,102,0.004847
49,1,126,0.005575
49,2,126,0.005597
50,1,130,0.00568
50,2,130,0.005773
51,1,139,0.008307
51,2,139,0.008457
52,1,141,0.008613
52,2,141,0.008345
53,1,132,0.008556
53,2,132,0.008465
54,1,144,0.008777
54,2,144,0.008884
55,1,138,0.009112
55,2,138,0.008924
56,1,132,0.008652
56,2,132,0.008985
57,1,58,0.011184
57,2,58,0.011074
58,1,146,0.010498
58,2,146,0.010679
59,1,171,0.012203
59,2,171,0.011992
60,1,148,0.01084
60,2,148,0.01098
61,1,167,0.012188
61,2,167,0.012002
62,1,175,0.012595
62,2,175,0.012672
63,1,170,0.013871
63,2,170,0.014258
64,1,169,0.014148
64,2,169,0.013817
65,1,170,0.014906
65,2,170,0.014528
66,1,177,0.014761
66,2,177,0.014729
67,1,177,0.015128
67,2,177,0.015168
68,1,185,0.015461
68,2,185,0.015408
69,1,184,0.018046
69,2,184,0.017291
70,1,180,0.017004
70,2,180,0.017214
71,1,174,0.017454
71,2,174,0.017522
72,1,184,0.017701
72,2,184,0.018034
73,1,188,0.01887
73,2,188,0.018933
74,1,202,0.019578
74,2,202,0.0203406
75,1,212,0.028036
75,2,212,0.0280402
76,1,211,0.0285838
76,2,211,0.0284241
77,1,202,0.0274334
77,2,202,0.0278762
78,1,196,0.0273069
78,2,196,0.0281504
79,1,210,0.0308863
79,2,210,0.0303782
80,1,206,0.0291093
80,2,206,0.0287558
81,1,218,0.0333077
81,2,218,0.0326861
82,1,211,0.0317465
82,2,211,0.032988
83,1,224,0.0338806
83,2,224,0.0340023
84,1,228,0.0343239
84,2,228,0.0343729
