domain,problem,problem_size,compiled,run,time,n_landmarks,extract_type
Logistics_FirstQ,1,15,FALSE,1,3.250458851,26,forward
Logistics_FirstQ,1,15,FALSE,2,0.002988285,26,forward
Logistics_FirstQ,1,15,FALSE,3,0.002984842,26,forward
Logistics_FirstQ,1,15,FALSE,1,2.204644071,45,backward
Logistics_FirstQ,1,15,FALSE,2,0.005738581,45,backward
Logistics_FirstQ,1,15,FALSE,3,0.006205206,45,backward
Logistics_FirstQ,1,15,FALSE,1,0.177300028,26,noncausal
Logistics_FirstQ,1,15,FALSE,2,0.006686283,26,noncausal
Logistics_FirstQ,1,15,FALSE,3,0.00680702,26,noncausal
Logistics_FirstQ,1,15,TRUE,1,1.516255772,26,forward
Logistics_FirstQ,1,15,TRUE,2,0.00289919,26,forward
Logistics_FirstQ,1,15,TRUE,3,0.002750601,26,forward
Logistics_FirstQ,1,15,TRUE,4,0.002957694,26,forward
Logistics_FirstQ,1,15,TRUE,1,0.152733976,45,backward
Logistics_FirstQ,1,15,TRUE,2,0.005544914,45,backward
Logistics_FirstQ,1,15,TRUE,3,0.00556442,45,backward
Logistics_FirstQ,1,15,TRUE,4,0.005719065,45,backward
Logistics_FirstQ,1,15,TRUE,1,0.038633475,26,noncausal
Logistics_FirstQ,1,15,TRUE,2,0.007461039,26,noncausal
Logistics_FirstQ,1,15,TRUE,3,0.007497821,26,noncausal
Logistics_FirstQ,1,15,TRUE,4,0.007347533,26,noncausal
Logistics_FirstQ,2,15,FALSE,1,0.002650988,24,forward
Logistics_FirstQ,2,15,FALSE,2,0.002771978,24,forward
Logistics_FirstQ,2,15,FALSE,3,0.002928785,24,forward
Logistics_FirstQ,2,15,FALSE,1,0.005410303,41,backward
Logistics_FirstQ,2,15,FALSE,2,0.005417527,41,backward
Logistics_FirstQ,2,15,FALSE,3,0.005611699,41,backward
Logistics_FirstQ,2,15,FALSE,1,0.00710213,24,noncausal
Logistics_FirstQ,2,15,FALSE,2,0.006930909,24,noncausal
Logistics_FirstQ,2,15,FALSE,3,0.006970087,24,noncausal
Logistics_FirstQ,2,15,TRUE,1,1.445919479,24,forward
Logistics_FirstQ,2,15,TRUE,2,0.002904254,24,forward
Logistics_FirstQ,2,15,TRUE,3,0.002838871,24,forward
Logistics_FirstQ,2,15,TRUE,4,0.002802512,24,forward
Logistics_FirstQ,2,15,TRUE,1,0.115007747,41,backward
Logistics_FirstQ,2,15,TRUE,2,0.005420415,41,backward
Logistics_FirstQ,2,15,TRUE,3,0.005502943,41,backward
Logistics_FirstQ,2,15,TRUE,4,0.005461133,41,backward
Logistics_FirstQ,2,15,TRUE,1,0.03618777,24,noncausal
Logistics_FirstQ,2,15,TRUE,2,0.007124392,24,noncausal
Logistics_FirstQ,2,15,TRUE,3,0.007060475,24,noncausal
Logistics_FirstQ,2,15,TRUE,4,0.007159874,24,noncausal
Logistics_FirstQ,3,15,FALSE,1,0.002670457,20,forward
Logistics_FirstQ,3,15,FALSE,2,0.002949408,20,forward
Logistics_FirstQ,3,15,FALSE,3,0.002958141,20,forward
Logistics_FirstQ,3,15,FALSE,1,0.005373228,33,backward
Logistics_FirstQ,3,15,FALSE,2,0.005875504,33,backward
Logistics_FirstQ,3,15,FALSE,3,0.005468855,33,backward
Logistics_FirstQ,3,15,FALSE,1,0.005878695,20,noncausal
Logistics_FirstQ,3,15,FALSE,2,0.005901938,20,noncausal
Logistics_FirstQ,3,15,FALSE,3,0.005971178,20,noncausal
Logistics_FirstQ,3,15,TRUE,1,1.46619189,20,forward
Logistics_FirstQ,3,15,TRUE,2,0.002923713,20,forward
Logistics_FirstQ,3,15,TRUE,3,0.002850466,20,forward
Logistics_FirstQ,3,15,TRUE,4,0.002760601,20,forward
Logistics_FirstQ,3,15,TRUE,1,0.115758348,33,backward
Logistics_FirstQ,3,15,TRUE,2,0.005271016,33,backward
Logistics_FirstQ,3,15,TRUE,3,0.005332819,33,backward
Logistics_FirstQ,3,15,TRUE,4,0.005295935,33,backward
Logistics_FirstQ,3,15,TRUE,1,0.035555287,20,noncausal
Logistics_FirstQ,3,15,TRUE,2,0.006281315,20,noncausal
Logistics_FirstQ,3,15,TRUE,3,0.006556543,20,noncausal
Logistics_FirstQ,3,15,TRUE,4,0.006494524,20,noncausal
Logistics_FirstQ,4,15,FALSE,1,0.002694448,33,forward
Logistics_FirstQ,4,15,FALSE,2,0.002780525,33,forward
Logistics_FirstQ,4,15,FALSE,3,0.002956986,33,forward
Logistics_FirstQ,4,15,FALSE,1,0.006762649,58,backward
Logistics_FirstQ,4,15,FALSE,2,0.006936385,58,backward
Logistics_FirstQ,4,15,FALSE,3,0.006896828,58,backward
Logistics_FirstQ,4,15,FALSE,1,0.007918074,33,noncausal
Logistics_FirstQ,4,15,FALSE,2,0.007861499,33,noncausal
Logistics_FirstQ,4,15,FALSE,3,0.007795705,33,noncausal
Logistics_FirstQ,4,15,TRUE,1,1.465745456,33,forward
Logistics_FirstQ,4,15,TRUE,2,0.002956529,33,forward
Logistics_FirstQ,4,15,TRUE,3,0.003053294,33,forward
Logistics_FirstQ,4,15,TRUE,4,0.002980636,33,forward
Logistics_FirstQ,4,15,TRUE,1,0.117662802,58,backward
Logistics_FirstQ,4,15,TRUE,2,0.006852342,58,backward
Logistics_FirstQ,4,15,TRUE,3,0.006800889,58,backward
Logistics_FirstQ,4,15,TRUE,4,0.006667461,58,backward
Logistics_FirstQ,4,15,TRUE,1,0.038395329,33,noncausal
Logistics_FirstQ,4,15,TRUE,2,0.007784581,33,noncausal
Logistics_FirstQ,4,15,TRUE,3,0.007783444,33,noncausal
Logistics_FirstQ,4,15,TRUE,4,0.007793059,33,noncausal
Logistics_FirstQ,5,15,FALSE,1,0.00268565,23,forward
Logistics_FirstQ,5,15,FALSE,2,0.002835604,23,forward
Logistics_FirstQ,5,15,FALSE,3,0.003077212,23,forward
Logistics_FirstQ,5,15,FALSE,1,0.005384287,38,backward
Logistics_FirstQ,5,15,FALSE,2,0.005409205,38,backward
Logistics_FirstQ,5,15,FALSE,3,0.005401338,38,backward
Logistics_FirstQ,5,15,FALSE,1,0.006573886,23,noncausal
Logistics_FirstQ,5,15,FALSE,2,0.006432328,23,noncausal
Logistics_FirstQ,5,15,FALSE,3,0.006235379,23,noncausal
Logistics_FirstQ,5,15,TRUE,1,1.446043748,23,forward
Logistics_FirstQ,5,15,TRUE,2,0.003033883,23,forward
Logistics_FirstQ,5,15,TRUE,3,0.0030293,23,forward
Logistics_FirstQ,5,15,TRUE,4,0.002957907,23,forward
Logistics_FirstQ,5,15,TRUE,1,0.115795865,38,backward
Logistics_FirstQ,5,15,TRUE,2,0.005302058,38,backward
Logistics_FirstQ,5,15,TRUE,3,0.005448112,38,backward
Logistics_FirstQ,5,15,TRUE,4,0.005424609,38,backward
Logistics_FirstQ,5,15,TRUE,1,0.036299942,23,noncausal
Logistics_FirstQ,5,15,TRUE,2,0.006300544,23,noncausal
Logistics_FirstQ,5,15,TRUE,3,0.006297555,23,noncausal
Logistics_FirstQ,5,15,TRUE,4,0.006350417,23,noncausal
Logistics_FirstQ,6,15,FALSE,1,0.002646336,15,forward
Logistics_FirstQ,6,15,FALSE,2,0.002771426,15,forward
Logistics_FirstQ,6,15,FALSE,3,0.003035208,15,forward
Logistics_FirstQ,6,15,FALSE,1,0.004584397,23,backward
Logistics_FirstQ,6,15,FALSE,2,0.004655136,23,backward
Logistics_FirstQ,6,15,FALSE,3,0.004722834,23,backward
Logistics_FirstQ,6,15,FALSE,1,0.005221567,15,noncausal
Logistics_FirstQ,6,15,FALSE,2,0.005008624,15,noncausal
Logistics_FirstQ,6,15,FALSE,3,0.004875407,15,noncausal
Logistics_FirstQ,6,15,TRUE,1,1.446730514,15,forward
Logistics_FirstQ,6,15,TRUE,2,0.003051108,15,forward
Logistics_FirstQ,6,15,TRUE,3,0.002777135,15,forward
Logistics_FirstQ,6,15,TRUE,4,0.002826967,15,forward
Logistics_FirstQ,6,15,TRUE,1,0.114752312,23,backward
Logistics_FirstQ,6,15,TRUE,2,0.004496861,23,backward
Logistics_FirstQ,6,15,TRUE,3,0.004636332,23,backward
Logistics_FirstQ,6,15,TRUE,4,0.004467248,23,backward
Logistics_FirstQ,6,15,TRUE,1,0.034412885,15,noncausal
Logistics_FirstQ,6,15,TRUE,2,0.005146842,15,noncausal
Logistics_FirstQ,6,15,TRUE,3,0.005040292,15,noncausal
Logistics_FirstQ,6,15,TRUE,4,0.005054233,15,noncausal
Logistics_FirstQ,7,15,FALSE,1,0.002740104,32,forward
Logistics_FirstQ,7,15,FALSE,2,0.002891952,32,forward
Logistics_FirstQ,7,15,FALSE,3,0.00300523,32,forward
Logistics_FirstQ,7,15,FALSE,1,0.006182766,55,backward
Logistics_FirstQ,7,15,FALSE,2,0.00638095,55,backward
Logistics_FirstQ,7,15,FALSE,3,0.006392194,55,backward
Logistics_FirstQ,7,15,FALSE,1,0.007597899,32,noncausal
Logistics_FirstQ,7,15,FALSE,2,0.008425365,32,noncausal
Logistics_FirstQ,7,15,FALSE,3,0.00839452,32,noncausal
Logistics_FirstQ,7,15,TRUE,1,1.445347313,32,forward
Logistics_FirstQ,7,15,TRUE,2,0.002963009,32,forward
