pfile,n_lm,time
1,23.0,0.000206603
2,38.0,0.000433284
3,53.0,0.0007465155000000001
4,68.0,0.00126859
5,83.0,0.00199317
6,98.0,0.002667745
7,113.0,0.00378252
8,128.0,0.005334045
9,143.0,0.0068780149999999995
10,158.0,0.00826708
11,173.0,0.01032705
12,188.0,0.012587850000000001
13,203.0,0.0152052
14,218.0,0.0181921
15,233.0,0.02279875
16,248.0,0.0253038
17,263.0,0.02943695
18,278.0,0.03431275
19,293.0,0.0396021
20,308.0,0.0450551
21,323.0,0.04967485
22,338.0,0.057226250000000006
23,353.0,0.0631458
24,368.0,0.07017105
25,383.0,0.07904675
26,398.0,0.0883168
27,413.0,0.09614785
28,428.0,0.10542699999999999
29,443.0,0.1158965
30,458.0,0.12672850000000002
