pfile,runs,n_lm,time
1,1,23,0.000196814
1,2,23,0.000216392
2,1,38,0.000409552
2,2,38,0.000457016
3,1,53,0.000771372
3,2,53,0.000721659
4,1,68,0.00124042
4,2,68,0.00129676
5,1,83,0.0020753
5,2,83,0.00191104
6,1,98,0.0026383
6,2,98,0.00269719
7,1,113,0.00385292
7,2,113,0.00371212
8,1,128,0.00520376
8,2,128,0.00546433
9,1,143,0.00675482
9,2,143,0.00700121
10,1,158,0.00835049
10,2,158,0.00818367
11,1,173,0.0103535
11,2,173,0.0103006
12,1,188,0.0125506
12,2,188,0.0126251
13,1,203,0.0153094
13,2,203,0.015101
14,1,218,0.0182933
14,2,218,0.0180909
15,1,233,0.021655
15,2,233,0.0239425
16,1,248,0.0252806
16,2,248,0.025327
17,1,263,0.0294696
17,2,263,0.0294043
18,1,278,0.0346634
18,2,278,0.0339621
19,1,293,0.0391671
19,2,293,0.0400371
20,1,308,0.0450292
20,2,308,0.045081
21,1,323,0.048787
21,2,323,0.0505627
22,1,338,0.0571137
22,2,338,0.0573388
23,1,353,0.0634437
23,2,353,0.0628479
24,1,368,0.0693444
24,2,368,0.0709977
25,1,383,0.078455
25,2,383,0.0796385
26,1,398,0.0866079
26,2,398,0.0900257
27,1,413,0.0953879
27,2,413,0.0969078
28,1,428,0.105114
28,2,428,0.10574
29,1,443,0.116381
29,2,443,0.115412
30,1,458,0.12554
30,2,458,0.127917
