pfile,runs,n_lm,time
1,1,29,0.0188147
1,2,29,0.0186771
2,1,29,0.015328
2,2,29,0.0146818
3,1,29,0.0147786
3,2,29,0.0149558
4,1,29,0.0147065
4,2,29,0.0146058
5,1,29,0.017145
5,2,29,0.014922
6,1,41,0.033522
6,2,41,0.0350677
7,1,41,0.0287652
7,2,41,0.0276095
8,1,41,0.027808
8,2,41,0.0281508
9,1,41,0.0271315
9,2,41,0.0273999
10,1,41,0.0284152
10,2,41,0.0288832
11,1,52,0.0558528
11,2,52,0.0572335
12,1,53,0.0444789
12,2,53,0.0437387
13,1,53,0.0443605
13,2,53,0.0457856
14,1,53,0.0429858
14,2,53,0.0431772
15,1,53,0.044384
15,2,53,0.0448824
16,1,65,0.084053
16,2,65,0.0821399
17,1,65,0.0611032
17,2,65,0.0607893
18,1,65,0.0650367
18,2,65,0.0686686
19,1,65,0.0845454
19,2,65,0.0824044
20,1,65,0.0831752
20,2,65,0.0855229
21,1,77,0.0852327
21,2,77,0.0867763
22,1,77,0.0818377
22,2,77,0.0801865
23,1,77,0.106892
23,2,77,0.107922
24,1,77,0.0841029
24,2,77,0.0842429
25,1,77,0.11552
25,2,77,0.114841
26,1,89,0.147287
26,2,89,0.147696
27,1,89,0.180208
27,2,89,0.181283
28,1,89,0.142775
28,2,89,0.145801
29,1,89,0.146212
29,2,89,0.150448
30,1,89,0.180077
30,2,89,0.177652
31,1,101,0.193654
31,2,101,0.197542
32,1,102,0.14995
32,2,102,0.138013
33,1,101,0.189669
33,2,101,0.210608
34,1,101,0.185285
34,2,101,0.186485
35,1,101,0.186964
35,2,101,0.187427
36,1,113,0.290023
36,2,113,0.288051
37,1,114,0.234614
37,2,114,0.227871
38,1,113,0.226724
38,2,113,0.234464
39,1,113,0.23395
39,2,113,0.230354
40,1,113,0.229
40,2,113,0.230647
41,1,126,0.272248
41,2,126,0.268163
42,1,126,0.206603
42,2,126,0.214169
43,1,125,0.317611
43,2,125,0.277284
44,1,125,0.287936
44,2,125,0.288016
45,1,125,0.284414
45,2,125,0.289488
46,1,138,0.34368
46,2,138,0.331922
47,1,138,0.329949
47,2,138,0.340751
48,1,137,0.384525
48,2,137,0.406023
49,1,137,0.434457
49,2,137,0.411097
50,1,138,0.325306
50,2,138,0.324658
51,1,150,0.30648
51,2,150,0.32063
52,1,150,0.382632
52,2,150,0.383927
53,1,149,0.538651
53,2,149,0.507922
54,1,150,0.301294
54,2,150,0.29951
55,1,150,0.389212
55,2,150,0.389365
56,1,162,0.349926
56,2,162,0.356454
57,1,162,0.350907
57,2,162,0.351679
58,1,162,0.344966
58,2,162,0.34583
59,1,162,0.345886
59,2,162,0.343701
60,1,162,0.350654
60,2,162,0.34677
