problem,compiled,extract_type,time,problem_size,n_landmarks
1,False,backward,1.6431202376666667,30.0,4.0
1,False,forward,2.024536279,30.0,4.0
1,False,noncausal,0.8532526443333334,30.0,4.0
1,True,backward,0.927752775,30.0,4.0
1,True,forward,1.370960915,30.0,4.0
1,True,noncausal,0.808652373,30.0,4.0
2,False,backward,0.9165230233333334,30.0,4.0
2,False,forward,0.794355668,30.0,4.0
2,False,noncausal,0.7887882033333332,30.0,4.0
2,True,backward,0.92934981425,30.0,4.0
2,True,forward,1.3138938855,30.0,4.0
2,True,noncausal,0.8055524135000001,30.0,4.0
3,False,backward,0.930763459,30.0,4.0
3,False,forward,0.815034785,30.0,4.0
3,False,noncausal,0.7983971360000001,30.0,4.0
3,True,backward,0.9307703755,30.0,4.0
3,True,forward,1.323746872,30.0,4.0
3,True,noncausal,0.8056124125,30.0,4.0
4,False,backward,0.9286778513333332,30.0,4.0
4,False,forward,0.8031250316666667,30.0,4.0
4,False,noncausal,0.8004897656666666,30.0,4.0
4,True,backward,0.933760891,30.0,4.0
4,True,forward,1.32000984275,30.0,4.0
4,True,noncausal,0.806585377,30.0,4.0
5,False,backward,0.9160536366666667,30.0,4.0
5,False,forward,0.793636293,30.0,4.0
5,False,noncausal,0.791117,30.0,4.0
5,True,backward,0.9465283335,30.0,4.0
5,True,forward,1.3581058465,30.0,4.0
5,True,noncausal,0.8319503645,30.0,4.0
6,False,backward,1.9886765726666666,34.0,4.0
6,False,forward,1.8087249239999998,34.0,4.0
6,False,noncausal,1.762618849,34.0,4.0
6,True,backward,1.98622884575,34.0,4.0
6,True,forward,2.3156573345,34.0,4.0
6,True,noncausal,1.79510787575,34.0,4.0
7,False,backward,1.9617008946666665,34.0,4.0
7,False,forward,1.7570152726666664,34.0,4.0
7,False,noncausal,1.752624098,34.0,4.0
7,True,backward,1.99081184725,34.0,4.0
7,True,forward,2.320971766,34.0,4.0
7,True,noncausal,1.78661983675,34.0,4.0
8,False,backward,1.9755129096666666,34.0,4.0
8,False,forward,1.7623148703333333,34.0,4.0
8,False,noncausal,1.757967686,34.0,4.0
8,True,backward,1.99042602525,34.0,4.0
8,True,forward,2.3176132645000003,34.0,4.0
8,True,noncausal,1.79185055575,34.0,4.0
9,False,backward,1.9656104803333332,34.0,4.0
9,False,forward,1.7573370593333333,34.0,4.0
9,False,noncausal,1.7517317913333335,34.0,4.0
9,True,backward,1.9892130215,34.0,4.0
9,True,forward,2.31967179375,34.0,4.0
9,True,noncausal,1.78714963175,34.0,4.0
10,False,backward,1.983758032,34.0,4.0
10,False,forward,1.7637880833333333,34.0,4.0
10,False,noncausal,1.7596002403333333,34.0,4.0
10,True,backward,1.99690694425,34.0,4.0
10,True,forward,2.3219567215,34.0,4.0
