problem,compiled,extract_type,time,problem_size,n_landmarks
1,False,backward,0.736078785,8.0,24.0
1,False,forward,1.3529893706666665,8.0,10.0
1,False,noncausal,0.058667902333333334,8.0,10.0
1,True,backward,0.016217197,8.0,20.0
1,True,forward,0.27135675299999995,8.0,10.0
1,True,noncausal,0.00959575625,8.0,10.0
2,False,backward,0.0034853373333333334,10.0,34.0
2,False,forward,0.0021189176666666664,10.0,14.0
2,False,noncausal,0.0030105683333333335,10.0,14.0
2,True,backward,0.01722869975,10.0,28.0
2,True,forward,0.25033376975,10.0,14.0
2,True,noncausal,0.010808423000000001,10.0,14.0
3,False,backward,0.004661589333333334,12.0,44.0
3,False,forward,0.002741172333333333,12.0,18.0
3,False,noncausal,0.003932548333333333,12.0,18.0
3,True,backward,0.01857778525,12.0,36.0
3,True,forward,0.256963034,12.0,18.0
3,True,noncausal,0.011383530749999999,12.0,18.0
4,False,backward,0.006092195000000001,14.0,54.0
4,False,forward,0.003307305333333333,14.0,22.0
4,False,noncausal,0.004864058333333333,14.0,22.0
4,True,backward,0.0199561595,14.0,44.0
4,True,forward,0.25491512549999995,14.0,22.0
4,True,noncausal,0.01248101325,14.0,22.0
5,False,backward,0.007089471,16.0,64.0
5,False,forward,0.003691584,16.0,26.0
5,False,noncausal,0.005744629,16.0,26.0
5,True,backward,0.02156032375,16.0,52.0
5,True,forward,0.25448115125000004,16.0,26.0
5,True,noncausal,0.01369863375,16.0,26.0
6,False,backward,0.008529579666666667,18.0,74.0
6,False,forward,0.004177522,18.0,30.0
6,False,noncausal,0.00682286,18.0,30.0
6,True,backward,0.023256033750000002,18.0,60.0
6,True,forward,0.25561066024999995,18.0,30.0
6,True,noncausal,0.01528116625,18.0,30.0
7,False,backward,0.010138524666666668,20.0,84.0
7,False,forward,0.004714495333333333,20.0,34.0
7,False,noncausal,0.008111061333333334,20.0,34.0
7,True,backward,0.024943521,20.0,68.0
7,True,forward,0.2561316005,20.0,34.0
7,True,noncausal,0.016309998,20.0,34.0
8,False,backward,0.011752977,22.0,94.0
8,False,forward,0.005235042999999999,22.0,38.0
8,False,noncausal,0.009276487333333333,22.0,38.0
8,True,backward,0.02770752,22.0,94.0
8,True,forward,0.25737080500000004,22.0,38.0
8,True,noncausal,0.01821604375,22.0,38.0
9,False,backward,0.013617459666666666,24.0,104.0
9,False,forward,0.005787579333333333,24.0,42.0
9,False,noncausal,0.011217695,24.0,42.0
9,True,backward,0.03022256625,24.0,104.0
9,True,forward,0.25761338125,24.0,42.0
9,True,noncausal,0.02033087675,24.0,42.0
10,False,backward,0.015582853333333334,26.0,114.0
10,False,forward,0.006445058666666666,26.0,46.0
10,False,noncausal,0.012129797666666666,26.0,46.0
10,True,backward,0.03199867275,26.0,114.0
10,True,forward,0.25877379525,26.0,46.0
10,True,noncausal,0.02157993,26.0,46.0
11,False,backward,0.017795391333333334,28.0,124.0
11,False,forward,0.007000482666666666,28.0,50.0
11,False,noncausal,0.013826161666666665,28.0,50.0
11,True,backward,0.03480448725,28.0,124.0
11,True,forward,0.26003010575,28.0,50.0
11,True,noncausal,0.02357408225,28.0,50.0
12,False,backward,0.019632256,30.0,134.0
12,False,forward,0.007520650333333333,30.0,54.0
12,False,noncausal,0.015110594,30.0,54.0
12,True,backward,0.0374936365,30.0,134.0
12,True,forward,0.26183185375,30.0,54.0
12,True,noncausal,0.02557366775,30.0,54.0
13,False,backward,0.021988266000000003,32.0,144.0
13,False,forward,0.008066351,32.0,58.0
13,False,noncausal,0.016926263,32.0,58.0
13,True,backward,0.0405644915,32.0,144.0
13,True,forward,0.263306849,32.0,58.0
13,True,noncausal,0.027767385,32.0,58.0
14,False,backward,0.024511454666666665,34.0,154.0
14,False,forward,0.008629928,34.0,62.0
14,False,noncausal,0.019750649999999998,34.0,62.0
14,True,backward,0.04375503,34.0,154.0
14,True,forward,0.27105518075,34.0,62.0
14,True,noncausal,0.0301912265,34.0,62.0
15,False,backward,0.026709615333333336,36.0,164.0
15,False,forward,0.009031764,36.0,66.0
15,False,noncausal,0.020476935666666668,36.0,66.0
15,True,backward,0.04961472,36.0,164.0
15,True,forward,0.27325384025,36.0,66.0
15,True,noncausal,0.032671093,36.0,66.0
16,False,backward,0.029741862999999997,38.0,174.0
16,False,forward,0.009791859666666666,38.0,70.0
16,False,noncausal,0.022649128,38.0,70.0
16,True,backward,0.05836525525,38.0,174.0
16,True,forward,0.27516088225,38.0,70.0
16,True,noncausal,0.03541646075,38.0,70.0
17,False,backward,0.032465625,40.0,184.0
17,False,forward,0.010274133999999999,40.0,74.0
17,False,noncausal,0.024808627333333333,40.0,74.0
17,True,backward,0.061859237,40.0,184.0
17,True,forward,0.277360828,40.0,74.0
17,True,noncausal,0.046848079,40.0,74.0
18,False,backward,0.035281609,42.0,194.0
18,False,forward,0.010966621000000001,42.0,78.0
18,False,noncausal,0.027827654666666663,42.0,78.0
18,True,backward,0.06491349925,42.0,194.0
18,True,forward,0.27971107250000005,42.0,78.0
18,True,noncausal,0.0458841445,42.0,78.0
19,False,backward,0.042630014,44.0,204.0
19,False,forward,0.011484437666666666,44.0,82.0
19,False,noncausal,0.03349509033333333,44.0,82.0
19,True,backward,0.07235788275,44.0,204.0
19,True,forward,0.28278377774999996,44.0,82.0
19,True,noncausal,0.05292174025,44.0,82.0
20,False,backward,0.053775711999999996,46.0,214.0
20,False,forward,0.012190079666666666,46.0,86.0
20,False,noncausal,0.03462783,46.0,86.0
20,True,backward,0.07536604475,46.0,214.0
20,True,forward,0.28812761875,46.0,86.0
20,True,noncausal,0.0578592195,46.0,86.0
