domain,problem,problem_size,compiled,run,time,n_landmarks,extract_type
Gripper,1,8,false,1,4.055810392,10,forward
Gripper,1,8,false,2,0.001448988,10,forward
Gripper,1,8,false,3,0.001708732,10,forward
Gripper,1,8,false,1,2.20354293,24,backward
Gripper,1,8,false,2,0.002231289,24,backward
Gripper,1,8,false,3,0.002462136,24,backward
Gripper,1,8,false,1,0.171734666,10,noncausal
Gripper,1,8,false,2,0.002045097,10,noncausal
Gripper,1,8,false,3,0.002223944,10,noncausal
Gripper,1,8,true,1,1.07970248,10,forward
Gripper,1,8,true,2,0.002014585,10,forward
Gripper,1,8,true,3,0.001885879,10,forward
Gripper,1,8,true,4,0.001824068,10,forward
Gripper,1,8,true,1,0.057200777,20,backward
Gripper,1,8,true,2,0.002612145,20,backward
Gripper,1,8,true,3,0.002611822,20,backward
Gripper,1,8,true,4,0.002444044,20,backward
Gripper,1,8,true,1,0.031844957,10,noncausal
Gripper,1,8,true,2,0.002196636,10,noncausal
Gripper,1,8,true,3,0.00212335,10,noncausal
Gripper,1,8,true,4,0.002218082,10,noncausal
Gripper,2,10,false,1,0.00196204,14,forward
Gripper,2,10,false,2,0.002193867,14,forward
Gripper,2,10,false,3,0.002200846,14,forward
Gripper,2,10,false,1,0.003557123,34,backward
Gripper,2,10,false,2,0.003496931,34,backward
Gripper,2,10,false,3,0.003401958,34,backward
Gripper,2,10,false,1,0.003025012,14,noncausal
Gripper,2,10,false,2,0.002963643,14,noncausal
Gripper,2,10,false,3,0.00304305,14,noncausal
Gripper,2,10,true,1,0.994283989,14,forward
Gripper,2,10,true,2,0.00235775,14,forward
Gripper,2,10,true,3,0.002220739,14,forward
Gripper,2,10,true,4,0.002472601,14,forward
Gripper,2,10,true,1,0.058364223,28,backward
Gripper,2,10,true,2,0.00356291,28,backward
Gripper,2,10,true,3,0.003460396,28,backward
Gripper,2,10,true,4,0.00352727,28,backward
Gripper,2,10,true,1,0.033847369,14,noncausal
Gripper,2,10,true,2,0.003064983,14,noncausal
Gripper,2,10,true,3,0.003197653,14,noncausal
Gripper,2,10,true,4,0.003123687,14,noncausal
Gripper,3,12,false,1,0.002495709,18,forward
Gripper,3,12,false,2,0.00292192,18,forward
Gripper,3,12,false,3,0.002805888,18,forward
Gripper,3,12,false,1,0.004656261,44,backward
Gripper,3,12,false,2,0.00476747,44,backward
Gripper,3,12,false,3,0.004561037,44,backward
Gripper,3,12,false,1,0.004130292,18,noncausal
Gripper,3,12,false,2,0.003827285,18,noncausal
Gripper,3,12,false,3,0.003840068,18,noncausal
Gripper,3,12,true,1,1.018550025,18,forward
Gripper,3,12,true,2,0.00319465,18,forward
Gripper,3,12,true,3,0.003077576,18,forward
Gripper,3,12,true,4,0.003029885,18,forward
Gripper,3,12,true,1,0.059544506,36,backward
Gripper,3,12,true,2,0.004626337,36,backward
Gripper,3,12,true,3,0.00476445,36,backward
Gripper,3,12,true,4,0.005375848,36,backward
Gripper,3,12,true,1,0.033797858,18,noncausal
Gripper,3,12,true,2,0.003885314,18,noncausal
Gripper,3,12,true,3,0.003895199,18,noncausal
Gripper,3,12,true,4,0.003955752,18,noncausal
Gripper,4,14,false,1,0.003088939,22,forward
Gripper,4,14,false,2,0.003508793,22,forward
Gripper,4,14,false,3,0.003324184,22,forward
Gripper,4,14,false,1,0.005937633,54,backward
Gripper,4,14,false,2,0.006191615,54,backward
Gripper,4,14,false,3,0.006147337,54,backward
Gripper,4,14,false,1,0.004862967,22,noncausal
Gripper,4,14,false,2,0.004925125,22,noncausal
Gripper,4,14,false,3,0.004804083,22,noncausal
Gripper,4,14,true,1,1.009007871,22,forward
Gripper,4,14,true,2,0.003622595,22,forward
Gripper,4,14,true,3,0.00362723,22,forward
Gripper,4,14,true,4,0.003402806,22,forward
Gripper,4,14,true,1,0.06141845,44,backward
Gripper,4,14,true,2,0.006070688,44,backward
Gripper,4,14,true,3,0.006277184,44,backward
Gripper,4,14,true,4,0.006058316,44,backward
Gripper,4,14,true,1,0.03469842,22,noncausal
Gripper,4,14,true,2,0.00509472,22,noncausal
Gripper,4,14,true,3,0.004972907,22,noncausal
Gripper,4,14,true,4,0.005158006,22,noncausal
Gripper,5,16,false,1,0.003554928,26,forward
Gripper,5,16,false,2,0.003784601,26,forward
Gripper,5,16,false,3,0.003735223,26,forward
Gripper,5,16,false,1,0.007157459,64,backward
Gripper,5,16,false,2,0.007073082,64,backward
Gripper,5,16,false,3,0.007037872,64,backward
Gripper,5,16,false,1,0.005773099,26,noncausal
Gripper,5,16,false,2,0.005718421,26,noncausal
