pfile,n_lm,time
1,26.0,0.000219
2,24.0,0.000222
3,20.0,0.0002165
4,33.0,0.0002785
5,23.0,0.000245
6,15.0,0.0002265
7,32.0,0.000271
8,22.0,0.0002585
9,32.0,0.0002975
10,30.0,0.000277
11,44.0,0.00041949999999999995
12,50.0,0.0004755
13,41.0,0.0005145
14,53.0,0.000529
15,46.0,0.0005365
16,42.0,0.0005195
17,56.0,0.0007574999999999999
18,54.0,0.0008095000000000001
19,1.0,6.25e-05
20,71.0,0.0009655
21,56.0,0.0008825
22,80.0,0.001086
23,70.0,0.0016519999999999998
24,62.0,0.001614
25,62.0,0.0015485
26,71.0,0.0016555
27,75.0,0.001843
28,68.0,0.0016945
29,25.0,0.0008340000000000001
30,26.0,0.0016265
31,52.0,0.004353
32,41.0,0.0065745000000000005
33,84.0,0.0026635
34,80.0,0.0025900000000000003
35,90.0,0.0029525000000000003
36,88.0,0.002705
37,109.0,0.0034549999999999997
38,79.0,0.002781
39,97.0,0.0036615
40,92.0,0.003581
41,105.0,0.003894
42,100.0,0.0037844999999999997
43,106.0,0.0040425
44,100.0,0.0039535
45,108.0,0.004876999999999999
46,106.0,0.0047705000000000004
47,112.0,0.0051625
48,102.0,0.0049115
49,126.0,0.005586000000000001
50,130.0,0.005726500000000001
51,139.0,0.008382
52,141.0,0.008479
53,132.0,0.0085105
54,144.0,0.0088305
55,138.0,0.009018
56,132.0,0.0088185
57,58.0,0.011129
58,146.0,0.0105885
59,171.0,0.0120975
60,148.0,0.01091
61,167.0,0.012095
62,175.0,0.012633499999999999
63,170.0,0.0140645
64,169.0,0.0139825
65,170.0,0.014717000000000001
66,177.0,0.014745000000000001
67,177.0,0.015148
68,185.0,0.0154345
69,184.0,0.0176685
70,180.0,0.017109
71,174.0,0.017488
72,184.0,0.0178675
73,188.0,0.0189015
74,202.0,0.0199593
75,212.0,0.0280381
76,211.0,0.02850395
77,202.0,0.0276548
78,196.0,0.02772865
79,210.0,0.03063225
80,206.0,0.02893255
81,218.0,0.0329969
82,211.0,0.03236725
83,224.0,0.03394145
84,228.0,0.0343484
