problem,compiled,extract_type,time,problem_size,n_landmarks
1,False,backward,0.7388626193333333,15.0,45.0
1,False,forward,1.085477326,15.0,26.0
1,False,noncausal,0.06359777700000001,15.0,26.0
1,True,backward,0.04239059375,15.0,45.0
1,True,forward,0.38121581425,15.0,26.0
1,True,noncausal,0.015234967,15.0,26.0
2,False,backward,0.005479843000000001,15.0,41.0
2,False,forward,0.0027839170000000003,15.0,24.0
2,False,noncausal,0.007001042,15.0,24.0
2,True,backward,0.0328480595,15.0,41.0
2,True,forward,0.36361627900000004,15.0,24.0
2,True,noncausal,0.01438312775,15.0,24.0
3,False,backward,0.005572529,15.0,33.0
3,False,forward,0.0028593353333333338,15.0,20.0
3,False,noncausal,0.005917270333333333,15.0,20.0
3,True,backward,0.0329145295,15.0,33.0
3,True,forward,0.3686816675,15.0,20.0
3,True,noncausal,0.01372191725,15.0,20.0
4,False,backward,0.0068652873333333335,15.0,58.0
4,False,forward,0.0028106529999999998,15.0,33.0
4,False,noncausal,0.007858426,15.0,33.0
4,True,backward,0.034495873499999996,15.0,58.0
4,True,forward,0.36868397875000003,15.0,33.0
4,True,noncausal,0.015439103249999999,15.0,33.0
5,False,backward,0.005398276666666667,15.0,38.0
5,False,forward,0.002866155333333333,15.0,23.0
5,False,noncausal,0.006413864333333334,15.0,23.0
5,True,backward,0.032992661,15.0,38.0
5,True,forward,0.3637662095,15.0,23.0
5,True,noncausal,0.0138121145,15.0,23.0
6,False,backward,0.004654122333333333,15.0,23.0
6,False,forward,0.0028176566666666667,15.0,15.0
6,False,noncausal,0.005035199333333333,15.0,15.0
6,True,backward,0.032088188249999997,15.0,23.0
6,True,forward,0.36384643099999997,15.0,15.0
6,True,noncausal,0.012413562999999999,15.0,15.0
7,False,backward,0.006318636666666666,15.0,55.0
7,False,forward,0.0028790953333333335,15.0,32.0
7,False,noncausal,0.008139261333333333,15.0,32.0
7,True,backward,0.033838746,15.0,55.0
7,True,forward,0.36352219550000003,15.0,32.0
7,True,noncausal,0.01479537,15.0,32.0
8,False,backward,0.005364330333333334,15.0,35.0
8,False,forward,0.002848124666666667,15.0,22.0
8,False,noncausal,0.00591225,15.0,22.0
8,True,backward,0.03267988,15.0,35.0
8,True,forward,0.36328351,15.0,22.0
8,True,noncausal,0.013209666750000001,15.0,22.0
9,False,backward,0.006369741666666667,15.0,55.0
9,False,forward,0.002870206,15.0,32.0
9,False,noncausal,0.008185919,15.0,32.0
9,True,backward,0.0335272425,15.0,55.0
9,True,forward,0.36249663225,15.0,32.0
9,True,noncausal,0.0149198385,15.0,32.0
10,False,backward,0.006179501333333333,15.0,51.0
10,False,forward,0.002877209,15.0,30.0
10,False,noncausal,0.007903099333333333,15.0,30.0
10,True,backward,0.0334126965,15.0,51.0
10,True,forward,0.36235984425,15.0,30.0
10,True,noncausal,0.015186737,15.0,30.0
11,False,backward,0.018599027666666667,22.0,77.0
11,False,forward,0.3252553503333333,22.0,44.0
11,False,noncausal,0.026705812333333332,22.0,44.0
11,True,backward,0.0322624105,22.0,77.0
11,True,forward,0.3848413625,22.0,44.0
11,True,noncausal,0.0341566465,22.0,44.0
12,False,backward,0.020322321666666667,22.0,89.0
12,False,forward,0.0077124233333333335,22.0,50.0
12,False,noncausal,0.030598659333333333,22.0,50.0
12,True,backward,0.03405372425,22.0,89.0
12,True,forward,0.386520608,22.0,50.0
12,True,noncausal,0.0380009895,22.0,50.0
13,False,backward,0.017836370333333334,22.0,70.0
13,False,forward,0.012267889333333332,22.0,41.0
13,False,noncausal,0.025223920333333334,22.0,41.0
13,True,backward,0.03167364225,22.0,70.0
13,True,forward,0.38517819249999996,22.0,41.0
13,True,noncausal,0.0322644245,22.0,41.0
14,False,backward,0.020853161666666665,22.0,94.0
14,False,forward,0.007734301,22.0,53.0
14,False,noncausal,0.031345659666666664,22.0,53.0
14,True,backward,0.0344127335,22.0,94.0
14,True,forward,0.41349518375,22.0,53.0
14,True,noncausal,0.038927119999999996,22.0,53.0
15,False,backward,0.02027464433333333,22.0,79.0
15,False,forward,0.007704993,22.0,46.0
15,False,noncausal,0.02682986733333333,22.0,46.0
15,True,backward,0.03260263575,22.0,79.0
15,True,forward,0.38842915525,22.0,46.0
15,True,noncausal,0.03521373325,22.0,46.0
16,False,backward,0.018169383666666667,22.0,71.0
16,False,forward,0.012436843000000001,22.0,42.0
16,False,noncausal,0.025826321333333332,22.0,42.0
16,True,backward,0.03149182125,22.0,71.0
16,True,forward,0.3959346635,22.0,42.0
16,True,noncausal,0.033933135749999996,22.0,42.0
17,False,backward,0.042169293999999996,29.0,97.0
17,False,forward,0.015657038333333335,29.0,56.0
17,False,noncausal,0.07937393033333333,29.0,56.0
17,True,backward,0.056356188,29.0,97.0
17,True,forward,0.40551345250000004,29.0,56.0
17,True,noncausal,0.0882052485,29.0,56.0
18,False,backward,0.04171845133333333,29.0,93.0
18,False,forward,0.020457078666666666,29.0,54.0
18,False,noncausal,0.06987262466666666,29.0,54.0
18,True,backward,0.055325092,29.0,93.0
18,True,forward,0.395381294,29.0,54.0
18,True,noncausal,0.080316264,29.0,54.0
19,False,backward,0.027210639666666665,29.0,18.0
19,False,forward,0.020082805333333332,29.0,15.0
19,False,noncausal,0.022028634333333335,29.0,15.0
19,True,backward,0.041108414499999996,29.0,18.0
19,True,forward,0.39577058025,29.0,15.0
19,True,noncausal,0.02940101725,29.0,15.0
20,False,backward,0.050422808333333326,29.0,126.0
20,False,forward,0.020588047666666668,29.0,71.0
20,False,noncausal,0.09590750799999999,29.0,71.0
20,True,backward,0.064515731,29.0,126.0
20,True,forward,0.39715101225000005,29.0,71.0
20,True,noncausal,0.11076180525,29.0,71.0
21,False,backward,0.042081602333333336,29.0,95.0
21,False,forward,0.016037447333333333,29.0,56.0
21,False,noncausal,0.07303273166666667,29.0,56.0
21,True,backward,0.055846405,29.0,95.0
21,True,forward,0.396262141,29.0,56.0
21,True,noncausal,0.083993946,29.0,56.0
22,False,backward,0.05709002233333333,29.0,143.0
22,False,forward,0.020520000333333333,29.0,80.0
22,False,noncausal,0.10572428499999999,29.0,80.0
22,True,backward,0.0712645895,29.0,143.0
22,True,forward,0.397880125,29.0,80.0
22,True,noncausal,0.11488160425,29.0,80.0
23,False,backward,0.11718461533333334,37.0,119.0
23,False,forward,0.037531004,37.0,70.0
23,False,noncausal,0.21535290166666665,37.0,70.0
23,True,backward,0.132302043,37.0,119.0
23,True,forward,0.4289822315,37.0,70.0
23,True,noncausal,0.22686330799999999,37.0,70.0
24,False,backward,0.11042112633333334,37.0,108.0
24,False,forward,0.037061704333333334,37.0,62.0
24,False,noncausal,0.19720811800000002,37.0,62.0
24,True,backward,0.12510888275,37.0,108.0
24,True,forward,0.41768591675,37.0,62.0
