problem,compiled,extract_type,time,problem_size,n_landmarks
1,False,backward,0.7286567129999999,8.0,36.0
1,False,forward,1.0644516166666667,8.0,23.0
1,False,noncausal,0.057714922,8.0,23.0
1,True,backward,0.038211779,8.0,36.0
1,True,forward,0.59706255875,8.0,23.0
1,True,noncausal,0.009043538,8.0,23.0
2,False,backward,0.0038597346666666664,12.0,60.0
2,False,forward,0.0016883690000000001,12.0,38.0
2,False,noncausal,0.003844442,12.0,38.0
2,True,backward,0.04063140025,12.0,60.0
2,True,forward,0.5785085124999999,12.0,38.0
2,True,noncausal,0.0110236705,12.0,38.0
3,False,backward,0.007047794,16.0,84.0
3,False,forward,0.0024550776666666667,16.0,53.0
3,False,noncausal,0.007653837,16.0,53.0
3,True,backward,0.04429393375,16.0,84.0
3,True,forward,0.58608998375,16.0,53.0
3,True,noncausal,0.014984010499999999,16.0,53.0
4,False,backward,0.011642113666666667,20.0,108.0
4,False,forward,0.003545725333333333,20.0,68.0
4,False,noncausal,0.014225674333333334,20.0,68.0
4,True,backward,0.04999624275,20.0,108.0
4,True,forward,0.58606844375,20.0,68.0
4,True,noncausal,0.0211979105,20.0,68.0
5,False,backward,0.018306406333333334,24.0,132.0
5,False,forward,0.004986337,24.0,83.0
5,False,noncausal,0.024142187333333332,24.0,83.0
5,True,backward,0.058446005499999995,24.0,132.0
5,True,forward,0.58314582525,24.0,83.0
5,True,noncausal,0.031478382,24.0,83.0
6,False,backward,0.02744482566666667,28.0,156.0
6,False,forward,0.011266136000000001,28.0,98.0
6,False,noncausal,0.03942736733333333,28.0,98.0
6,True,backward,0.0696079585,28.0,156.0
6,True,forward,0.5860570225,28.0,98.0
6,True,noncausal,0.04663564625,28.0,98.0
7,False,backward,0.039963626,32.0,180.0
7,False,forward,0.008631430333333334,32.0,113.0
7,False,noncausal,0.06079854666666667,32.0,113.0
7,True,backward,0.0881661715,32.0,180.0
7,True,forward,0.58809753375,32.0,113.0
7,True,noncausal,0.07044398724999999,32.0,113.0
8,False,backward,0.070528622,36.0,204.0
8,False,forward,0.011247136333333333,36.0,128.0
8,False,noncausal,0.11287250266666667,36.0,128.0
8,True,backward,0.11258433075,36.0,204.0
8,True,forward,0.6084577795,36.0,128.0
8,True,noncausal,0.1213903565,36.0,128.0
9,False,backward,0.08454895966666666,40.0,228.0
9,False,forward,0.013821834666666666,40.0,143.0
9,False,noncausal,0.128844859,40.0,143.0
9,True,backward,0.13436144175,40.0,228.0
9,True,forward,0.620686359,40.0,143.0
9,True,noncausal,0.1392284495,40.0,143.0
10,False,backward,0.106991952,44.0,252.0
10,False,forward,0.017111627,44.0,158.0
10,False,noncausal,0.18108561666666667,44.0,158.0
10,True,backward,0.1721067275,44.0,252.0
10,True,forward,0.6170215915,44.0,158.0
10,True,noncausal,0.1864418705,44.0,158.0
11,False,backward,0.146078499,48.0,276.0
11,False,forward,0.020013652666666666,48.0,173.0
11,False,noncausal,0.23213222866666663,48.0,173.0
11,True,backward,0.2061983645,48.0,276.0
11,True,forward,0.61821854775,48.0,173.0
11,True,noncausal,0.24487053949999998,48.0,173.0
12,False,backward,0.18027827500000002,52.0,300.0
12,False,forward,0.023463013666666668,52.0,188.0
12,False,noncausal,0.3036056596666667,52.0,188.0
12,True,backward,0.24999229325,52.0,300.0
12,True,forward,0.6242286450000001,52.0,188.0
12,True,noncausal,0.31555617675000003,52.0,188.0
13,False,backward,0.235034451,56.0,324.0
13,False,forward,0.032784834000000006,56.0,203.0
13,False,noncausal,0.41146583166666667,56.0,203.0
13,True,backward,0.29991278025,56.0,324.0
13,True,forward,0.639204458,56.0,203.0
13,True,noncausal,0.3998801885,56.0,203.0
14,False,backward,0.2779194603333333,60.0,348.0
14,False,forward,0.039069854,60.0,218.0
14,False,noncausal,0.484710357,60.0,218.0
14,True,backward,0.35608948225000003,60.0,348.0
14,True,forward,0.6380129222500001,60.0,218.0
14,True,noncausal,0.4958124735,60.0,218.0
15,False,backward,0.34585362133333336,64.0,372.0
15,False,forward,0.035976149666666665,64.0,233.0
15,False,noncausal,0.6090469836666667,64.0,233.0
15,True,backward,0.42543330225,64.0,372.0
15,True,forward,0.65270284075,64.0,233.0
15,True,noncausal,0.6196170925,64.0,233.0
16,False,backward,0.40943651066666664,68.0,396.0
16,False,forward,0.046978193333333335,68.0,248.0
16,False,noncausal,0.781359653,68.0,248.0
16,True,backward,0.49817515425000003,68.0,396.0
16,True,forward,0.647913416,68.0,248.0
16,True,noncausal,0.805978227,68.0,248.0
17,False,forward,0.053890865333333336,72.0,248.0
17,True,forward,0.667964864,72.0,248.0
18,False,forward,0.059712348666666665,76.0,248.0
18,True,forward,0.6707717297500001,76.0,248.0
19,False,forward,0.07479386433333333,80.0,248.0
19,True,forward,0.6857596045000001,80.0,248.0
20,False,forward,0.08993929566666665,84.0,248.0
20,True,forward,0.69032643575,84.0,248.0
21,False,forward,0.091159014,88.0,248.0
21,True,forward,0.69730912375,88.0,248.0
22,False,forward,0.09847261333333333,92.0,248.0
22,True,forward,0.7055354585,92.0,248.0
23,False,forward,0.10400024133333334,96.0,248.0
23,True,forward,0.7140578692499999,96.0,248.0
24,False,forward,0.12407191366666666,100.0,248.0
24,True,forward,0.71996494975,100.0,248.0
25,False,forward,0.12310631766666667,104.0,248.0
25,True,forward,0.7425176569999999,104.0,248.0
26,False,forward,0.132227851,108.0,248.0
26,True,forward,0.74022248075,108.0,248.0
27,False,forward,0.142644082,112.0,248.0
27,True,forward,0.749544879,112.0,248.0
28,False,forward,0.16129168333333335,116.0,248.0
28,True,forward,0.7687292692500001,116.0,248.0
29,False,forward,0.161661449,120.0,248.0
29,True,forward,0.7718703210000001,120.0,248.0
30,False,forward,0.17228356466666664,124.0,248.0
30,True,forward,0.7814628367500001,124.0,248.0
