domain,problem,problem_size,compiled,run,time,n_landmarks,extract_type
Tireworld,1,8,false,1,3.190842681,23,forward
Tireworld,1,8,false,2,0.00119416,23,forward
Tireworld,1,8,false,3,0.001318009,23,forward
Tireworld,1,8,false,1,2.181987176,36,backward
Tireworld,1,8,false,2,0.001849045,36,backward
Tireworld,1,8,false,3,0.002133918,36,backward
Tireworld,1,8,false,1,0.169662272,23,noncausal
Tireworld,1,8,false,2,0.001699908,23,noncausal
Tireworld,1,8,false,3,0.001782586,23,noncausal
Tireworld,1,8,true,1,2.38474554,23,forward
Tireworld,1,8,true,2,0.001267228,23,forward
Tireworld,1,8,true,3,0.001098533,23,forward
Tireworld,1,8,true,4,0.001138934,23,forward
Tireworld,1,8,true,1,0.146569705,36,backward
Tireworld,1,8,true,2,0.001973316,36,backward
Tireworld,1,8,true,3,0.002050522,36,backward
Tireworld,1,8,true,4,0.002253573,36,backward
Tireworld,1,8,true,1,0.030772671,23,noncausal
Tireworld,1,8,true,2,0.001772194,23,noncausal
Tireworld,1,8,true,3,0.001863437,23,noncausal
Tireworld,1,8,true,4,0.00176585,23,noncausal
Tireworld,2,12,false,1,0.001493348,38,forward
Tireworld,2,12,false,2,0.001609376,38,forward
Tireworld,2,12,false,3,0.001962383,38,forward
Tireworld,2,12,false,1,0.00380592,60,backward
Tireworld,2,12,false,2,0.003860006,60,backward
Tireworld,2,12,false,3,0.003913278,60,backward
Tireworld,2,12,false,1,0.003923717,38,noncausal
Tireworld,2,12,false,2,0.003783194,38,noncausal
Tireworld,2,12,false,3,0.003826415,38,noncausal
Tireworld,2,12,true,1,2.308483896,38,forward
Tireworld,2,12,true,2,0.001857727,38,forward
Tireworld,2,12,true,3,0.001816402,38,forward
Tireworld,2,12,true,4,0.001876025,38,forward
Tireworld,2,12,true,1,0.150336064,60,backward
Tireworld,2,12,true,2,0.004039414,60,backward
Tireworld,2,12,true,3,0.004016761,60,backward
Tireworld,2,12,true,4,0.004133362,60,backward
Tireworld,2,12,true,1,0.032728772,38,noncausal
Tireworld,2,12,true,2,0.003742876,38,noncausal
Tireworld,2,12,true,3,0.003836862,38,noncausal
Tireworld,2,12,true,4,0.003786172,38,noncausal
Tireworld,3,16,false,1,0.002309312,53,forward
Tireworld,3,16,false,2,0.002436433,53,forward
Tireworld,3,16,false,3,0.002619488,53,forward
Tireworld,3,16,false,1,0.006947778,84,backward
Tireworld,3,16,false,2,0.007057628,84,backward
Tireworld,3,16,false,3,0.007137976,84,backward
Tireworld,3,16,false,1,0.007713418,53,noncausal
Tireworld,3,16,false,2,0.007599704,53,noncausal
Tireworld,3,16,false,3,0.007648389,53,noncausal
Tireworld,3,16,true,1,2.336515259,53,forward
Tireworld,3,16,true,2,0.00267973,53,forward
Tireworld,3,16,true,3,0.002662742,53,forward
Tireworld,3,16,true,4,0.002502204,53,forward
Tireworld,3,16,true,1,0.155198316,84,backward
Tireworld,3,16,true,2,0.007220231,84,backward
Tireworld,3,16,true,3,0.007334878,84,backward
Tireworld,3,16,true,4,0.00742231,84,backward
Tireworld,3,16,true,1,0.037046416,53,noncausal
Tireworld,3,16,true,2,0.007563022,53,noncausal
Tireworld,3,16,true,3,0.007747202,53,noncausal
Tireworld,3,16,true,4,0.007579402,53,noncausal
Tireworld,4,20,false,1,0.003464221,68,forward
Tireworld,4,20,false,2,0.003423689,68,forward
Tireworld,4,20,false,3,0.003749266,68,forward
Tireworld,4,20,false,1,0.01160141,108,backward
Tireworld,4,20,false,2,0.011703988,108,backward
Tireworld,4,20,false,3,0.011620943,108,backward
Tireworld,4,20,false,1,0.014063845,68,noncausal
Tireworld,4,20,false,2,0.014252334,68,noncausal
Tireworld,4,20,false,3,0.014360844,68,noncausal
Tireworld,4,20,true,1,2.333370482,68,forward
Tireworld,4,20,true,2,0.003677097,68,forward
Tireworld,4,20,true,3,0.00366418,68,forward
Tireworld,4,20,true,4,0.003562016,68,forward
Tireworld,4,20,true,1,0.163441155,108,backward
Tireworld,4,20,true,2,0.011918856,108,backward
Tireworld,4,20,true,3,0.012298277,108,backward
Tireworld,4,20,true,4,0.012326683,108,backward
Tireworld,4,20,true,1,0.042925187,68,noncausal
Tireworld,4,20,true,2,0.013885199,68,noncausal
Tireworld,4,20,true,3,0.013949654,68,noncausal
Tireworld,4,20,true,4,0.014031602,68,noncausal
Tireworld,5,24,false,1,0.004719385,83,forward
Tireworld,5,24,false,2,0.005146569,83,forward
Tireworld,5,24,false,3,0.005093057,83,forward
Tireworld,5,24,false,1,0.018252334,132,backward
Tireworld,5,24,false,2,0.018342124,132,backward
Tireworld,5,24,false,3,0.018324761,132,backward
Tireworld,5,24,false,1,0.024234075,83,noncausal
Tireworld,5,24,false,2,0.023963662,83,noncausal
Tireworld,5,24,false,3,0.024228825,83,noncausal
Tireworld,5,24,true,1,2.317392757,83,forward
Tireworld,5,24,true,2,0.005171283,83,forward
Tireworld,5,24,true,3,0.005014154,83,forward
Tireworld,5,24,true,4,0.005005107,83,forward
Tireworld,5,24,true,1,0.175731858,132,backward
Tireworld,5,24,true,2,0.019371428,132,backward
Tireworld,5,24,true,3,0.019284692,132,backward
Tireworld,5,24,true,4,0.019396044,132,backward
Tireworld,5,24,true,1,0.053611704,83,noncausal
Tireworld,5,24,true,2,0.024309365,83,noncausal
Tireworld,5,24,true,3,0.023928381,83,noncausal
Tireworld,5,24,true,4,0.024064078,83,noncausal
Tireworld,6,28,false,1,0.020372503,98,forward
Tireworld,6,28,false,2,0.006778764,98,forward
Tireworld,6,28,false,3,0.006647141,98,forward
Tireworld,6,28,false,1,0.027343959,156,backward
Tireworld,6,28,false,2,0.027384093,156,backward
Tireworld,6,28,false,3,0.027606425,156,backward
Tireworld,6,28,false,1,0.039438413,98,noncausal
Tireworld,6,28,false,2,0.039392207,98,noncausal
Tireworld,6,28,false,3,0.039451482,98,noncausal
Tireworld,6,28,true,1,2.324341801,98,forward
Tireworld,6,28,true,2,0.006548737,98,forward
Tireworld,6,28,true,3,0.006655457,98,forward
Tireworld,6,28,true,4,0.006682095,98,forward
Tireworld,6,28,true,1,0.191774282,156,backward
Tireworld,6,28,true,2,0.028765821,156,backward
Tireworld,6,28,true,3,0.029036602,156,backward
