domain,problem,problem_size,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks
Blocksworld,bw-large-a,9,FF,1,12,2.5347816,186582014,49,14,-1
Blocksworld,bw-large-a,9,FF,2,12,0.0070041,2973592,49,14,-1
Blocksworld,bw-large-a,9,FF,3,12,0.0071627,2973592,49,14,-1
Blocksworld,bw-large-a,9,FF,4,12,0.006157,2973592,49,14,-1
Blocksworld,bw-large-a,9,LM_Count,1,12,0.6478154,182723790,17752,6261,17
Blocksworld,bw-large-a,9,LM_Count,2,12,0.3461729,163120288,17752,6261,17
Blocksworld,bw-large-a,9,LM_Count,3,12,0.3876253,163120288,17752,6261,17
Blocksworld,bw-large-a,9,LM_Count,4,12,0.3501609,163120288,17752,6261,17
Blocksworld,bw-large-a,9,LM_Local-FF,1,18,1.3830564,253686786,38,29,15
Blocksworld,bw-large-a,9,LM_Local-FF,2,18,0.3819981,178388600,83,204,15
Blocksworld,bw-large-a,9,LM_Local-FF,3,18,0.3783929,177339832,83,204,15
Blocksworld,bw-large-a,9,LM_Local-FF,4,18,0.3822272,177602024,83,204,15
Blocksworld,bw-large-b,11,FF,1,18,1.1704666,87878689,151,46,-1
Blocksworld,bw-large-b,11,FF,2,18,0.0173968,6731384,151,46,-1
Blocksworld,bw-large-b,11,FF,3,18,0.0187651,6731384,151,46,-1
Blocksworld,bw-large-b,11,FF,4,18,0.0182707,6731384,151,46,-1
Blocksworld,bw-large-b,11,LM_Count,1,-1,-1.0,17723468004,1581039,556190,23
Blocksworld,bw-large-b,11,LM_Local-FF,1,26,1.2715051,322973884,216,95,21
Blocksworld,bw-large-b,11,LM_Local-FF,2,26,0.5658655,288354504,216,95,21
Blocksworld,bw-large-b,11,LM_Local-FF,3,26,0.5465104,288354504,216,95,21
Blocksworld,bw-large-b,11,LM_Local-FF,4,26,0.5479757,288375624,216,95,21
Blocksworld,bw-large-c,15,FF,1,28,1.2204757,95432539,228,59,-1
Blocksworld,bw-large-c,15,FF,2,28,0.0456494,14282984,228,59,-1
Blocksworld,bw-large-c,15,FF,3,28,0.0431765,14282984,228,59,-1
Blocksworld,bw-large-c,15,FF,4,28,0.043577,14282984,228,59,-1
Blocksworld,bw-large-c,15,LM_Count,1,-1,-1.0,18094183866,1599100,323898,37
Blocksworld,bw-large-c,15,LM_Local-FF,1,30,3.6894945,1616346108,1,46,35
Blocksworld,bw-large-c,15,LM_Local-FF,2,30,3.0681885,1581290536,1,46,35
Blocksworld,bw-large-c,15,LM_Local-FF,3,30,3.1048656,1581717752,1,46,35
Blocksworld,bw-large-c,15,LM_Local-FF,4,30,3.1131086,1581743400,1,46,35
Blocksworld,bw-large-d,19,FF,1,36,1.2810162,114474398,468,92,-1
Blocksworld,bw-large-d,19,FF,2,36,0.1112149,33328584,468,92,-1
Blocksworld,bw-large-d,19,FF,3,36,0.1108281,33328584,468,92,-1
Blocksworld,bw-large-d,19,FF,4,36,0.1094439,33328584,468,92,-1
Blocksworld,bw-large-d,19,LM_Count,1,-1,-1.0,20798552330,1454201,281614,48
Blocksworld,bw-large-d,19,LM_Local-FF,1,66,98.2716099,29949514956,5,7989,46
Blocksworld,bw-large-d,19,LM_Local-FF,2,66,94.9286102,29969206968,5,7989,46
Blocksworld,bw-large-d,19,LM_Local-FF,3,66,95.3145306,30013038920,5,7989,46
Blocksworld,bw-large-d,19,LM_Local-FF,4,66,94.1039797,29869681192,5,7989,46
