domain,problem,problem_size,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks
Freecell,prob-2-1(extra),30,FF,1,-1,-1.0,819564515025,373,103,-1
Freecell,prob-2-1(extra),30,LM_Count,1,-1,-1.0,874253499720,383,110,4
Freecell,prob-2-1(extra),30,LM_Local-FF,1,-1,-1.0,781965729898,1,0,1
Freecell,prob-2-2(extra),30,FF,1,-1,-1.0,781388955296,524,99,-1
Freecell,prob-2-2(extra),30,LM_Count,1,-1,-1.0,860182869000,560,109,4
Freecell,prob-2-2(extra),30,LM_Local-FF,1,-1,650.6778038,847318980078,178,67,1
Freecell,prob-2-2(extra),30,LM_Local-FF,2,-1,641.9025771,831535919976,178,66,1
Freecell,prob-2-2(extra),30,LM_Local-FF,3,-1,651.022486,847284418008,178,67,1
Freecell,prob-2-2(extra),30,LM_Local-FF,4,-1,650.1518769,847284418008,178,67,1
Freecell,prob-2-3(extra),30,FF,1,-1,-1.0,793271316195,396,100,-1
Freecell,prob-2-3(extra),30,LM_Count,1,-1,-1.0,879493336920,408,111,4
Freecell,prob-2-3(extra),30,LM_Local-FF,1,-1,-1.0,794346181234,1,0,1
Freecell,prob-7-1,50,FF,1,-1,-1.0,652051254016,86,11,-1
Freecell,prob-7-1,50,LM_Count,1,-1,-1.0,710173226584,89,12,4
Freecell,prob-7-1,50,LM_Local-FF,1,-1,-1.0,596987947805,1,0,1
Freecell,prob-7-2,50,FF,1,-1,-1.0,669801783931,88,12,-1
Freecell,prob-7-2,50,LM_Count,1,-1,-1.0,723802783784,97,13,4
Freecell,prob-7-2,50,LM_Local-FF,1,-1,-1.0,566774862505,1,0,1
Freecell,prob-7-3,50,FF,1,-1,-1.0,672314092056,90,12,-1
Freecell,prob-7-3,50,LM_Count,1,-1,-1.0,726616432504,100,13,4
Freecell,prob-7-3,50,LM_Local-FF,1,-1,-1.0,569249241065,1,0,1
Freecell,prob-8-1,54,FF,1,-1,-1.0,613192810788,69,8,-1
Freecell,prob-8-1,54,LM_Count,1,-1,-1.0,152826419403,23,2,4
Freecell,prob-8-1,54,LM_Local-FF,1,-1,-1.0,80257991529,1,0,1
Freecell,prob-8-2,54,FF,1,-1,-1.0,566376570909,63,8,-1
Freecell,prob-8-2,54,LM_Count,1,-1,-1.0,635000092779,66,9,4
Freecell,prob-8-2,54,LM_Local-FF,1,-1,-1.0,362571646241,1,0,1
Freecell,prob-8-3,54,FF,1,-1,-1.0,638601903221,71,9,-1
Freecell,prob-8-3,54,LM_Count,1,-1,-1.0,636676186811,71,9,4
Freecell,prob-8-3,54,LM_Local-FF,1,-1,-1.0,363788575281,1,0,1
Freecell,prob-9-1,58,FF,1,-1,-1.0,572801789726,52,6,-1
Freecell,prob-9-1,58,LM_Count,1,-1,-1.0,665632841484,58,7,4
Freecell,prob-9-1,58,LM_Local-FF,1,-1,-1.0,392306828513,1,0,1
Freecell,prob-9-2,58,FF,1,-1,-1.0,621396026395,54,7,-1
Freecell,prob-9-2,58,LM_Count,1,-1,-1.0,619125352283,54,7,4
Freecell,prob-9-2,58,LM_Local-FF,1,-1,-1.0,361934387377,1,0,1
Freecell,prob-9-3,58,FF,1,-1,-1.0,613703419437,62,7,-1
Freecell,prob-9-3,58,LM_Count,1,-1,-1.0,611445515995,62,7,4
Freecell,prob-9-3,58,LM_Local-FF,1,-1,-1.0,361353968233,1,0,1
Freecell,prob-10-1,62,FF,1,-1,-1.0,582575059411,38,5,-1
Freecell,prob-10-1,62,LM_Count,1,-1,-1.0,579956957995,38,5,4
Freecell,prob-10-1,62,LM_Local-FF,1,-1,-1.0,240248199391,1,0,1
Freecell,prob-10-2,62,FF,1,-1,-1.0,541186818935,42,5,-1
Freecell,prob-10-2,62,LM_Count,1,-1,-1.0,644440719147,47,6,4
Freecell,prob-10-2,62,LM_Local-FF,1,-1,-1.0,328779438375,1,0,1
Freecell,prob-10-3,62,FF,1,-1,-1.0,531047683277,47,5,-1
Freecell,prob-10-3,62,LM_Count,1,-1,-1.0,634103850107,56,6,4
Freecell,prob-10-3,62,LM_Local-FF,1,-1,-1.0,328200210823,1,0,1
Freecell,prob-11-1,66,FF,1,-1,-1.0,559631906019,33,4,-1
Freecell,prob-11-1,66,LM_Count,1,-1,-1.0,695756592974,39,5,4
Freecell,prob-11-1,66,LM_Local-FF,1,-1,-1.0,287880827167,1,0,1
Freecell,prob-11-2,66,FF,1,-1,-1.0,505888625671,36,4,-1
Freecell,prob-11-2,66,LM_Count,1,-1,-1.0,628897867787,43,5,4
Freecell,prob-11-2,66,LM_Local-FF,1,-1,-1.0,261629046287,1,0,1
Freecell,prob-11-3,66,FF,1,-1,-1.0,631887482741,48,5,-1
Freecell,prob-11-3,66,LM_Count,1,-1,-1.0,628852225238,48,5,4
Freecell,prob-11-3,66,LM_Local-FF,1,-1,-1.0,261127416207,1,0,1
