domain,problem,problem_size,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks
Grid,prob01,38,FF,1,14,11.6420368,4688025095,47,17,-1
Grid,prob01,38,FF,2,14,8.4256416,4485794504,47,17,-1
Grid,prob01,38,FF,3,14,8.12422,4485794504,47,17,-1
Grid,prob01,38,FF,4,14,8.1117076,4485794504,47,17,-1
Grid,prob01,38,LM_Count,1,-1,-1.0,385898424393,4564,1645,27
Grid,prob01,38,LM_Local-FF,1,-1,-1.0,356760067474,264,166,23
Grid,prob02,50,FF,1,-1,-1.0,254246859305,951,357,-1
Grid,prob02,50,LM_Count,1,-1,-1.0,287691109396,1118,407,25
Grid,prob02,50,LM_Local-FF,1,-1,-1.0,262119447804,22,7,18
Grid,prob03,64,FF,1,-1,-1.0,175818575868,341,111,-1
Grid,prob03,64,LM_Count,1,-1,-1.0,216592793346,295,116,37
Grid,prob03,64,LM_Local-FF,1,-1,-1.0,213618378748,19,6,27
Grid,prob04,80,FF,1,-1,-1.0,170301461193,110,36,-1
Grid,prob04,80,LM_Count,1,-1,-1.0,174858305661,104,38,39
Grid,prob04,80,LM_Local-FF,1,-1,-1.0,223746182012,1,0,28
Grid,prob05,98,FF,1,-1,-1.0,152058715933,36,14,-1
Grid,prob05,98,LM_Count,1,-1,-1.0,145710388922,28,14,68
Grid,prob05,98,LM_Local-FF,1,-1,-1.0,229897856144,1,0,50
