domain,problem,problem_size,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks
Logistics,prob-4-0(extra),15,FF,1,20,1.4256658,111028216,385,75,-1
Logistics,prob-4-0(extra),15,FF,2,20,0.0179531,7697456,385,75,-1
Logistics,prob-4-0(extra),15,FF,3,20,0.0171474,7697456,385,75,-1
Logistics,prob-4-0(extra),15,FF,4,20,0.0182022,7697456,385,75,-1
Logistics,prob-4-0(extra),15,LM_Count,1,20,24.8709366,7825020757,263586,247918,19
Logistics,prob-4-0(extra),15,LM_Count,2,20,25.156997,7816620928,263586,247918,19
Logistics,prob-4-0(extra),15,LM_Count,3,20,25.2576265,7816620928,263586,247918,19
Logistics,prob-4-0(extra),15,LM_Count,4,20,25.5217768,7816620928,263586,247918,19
Logistics,prob-4-0(extra),15,LM_Local-FF,1,29,0.8008051,196334801,38,260,19
Logistics,prob-4-0(extra),15,LM_Local-FF,2,29,0.3997309,161712864,38,260,19
Logistics,prob-4-0(extra),15,LM_Local-FF,3,29,0.3900634,161712560,38,260,19
Logistics,prob-4-0(extra),15,LM_Local-FF,4,29,0.3869218,161712560,38,260,19
Logistics,prob-6-0(extra),15,FF,1,25,1.5720082,160272758,3389,932,-1
Logistics,prob-6-0(extra),15,FF,2,25,0.1726238,62834208,3389,932,-1
Logistics,prob-6-0(extra),15,FF,3,25,0.1713019,62834208,3389,932,-1
Logistics,prob-6-0(extra),15,FF,4,25,0.1751139,62834208,3389,932,-1
Logistics,prob-6-0(extra),15,LM_Count,1,25,70.6316241,21860199933,615721,702170,23
Logistics,prob-6-0(extra),15,LM_Count,2,25,70.1627097,21851798648,615721,702170,23
Logistics,prob-6-0(extra),15,LM_Count,3,25,69.9293199,21851798648,615721,702170,23
Logistics,prob-6-0(extra),15,LM_Count,4,25,70.4435925,21851798648,615721,702170,23
Logistics,prob-6-0(extra),15,LM_Local-FF,1,25,0.6792566,144970939,8,29,23
Logistics,prob-6-0(extra),15,LM_Local-FF,2,25,0.2689498,110376432,8,29,23
Logistics,prob-6-0(extra),15,LM_Local-FF,3,25,0.2720493,110376432,8,29,23
Logistics,prob-6-0(extra),15,LM_Local-FF,4,25,0.2665735,110376432,8,29,23
Logistics,prob-8-0(extra),22,FF,1,31,3.0129393,590059603,18301,3684,-1
Logistics,prob-8-0(extra),22,FF,2,31,1.5654253,488035368,18301,3684,-1
Logistics,prob-8-0(extra),22,FF,3,31,1.5878134,488035368,18301,3684,-1
Logistics,prob-8-0(extra),22,FF,4,31,1.6426622,488035368,18301,3684,-1
Logistics,prob-8-0(extra),22,LM_Count,1,-1,-1.0,38252808469,1254778,717899,29
Logistics,prob-8-0(extra),22,LM_Local-FF,1,31,1.3634628,463779603,13,42,28
Logistics,prob-8-0(extra),22,LM_Local-FF,2,31,0.9309745,429145768,13,42,28
Logistics,prob-8-0(extra),22,LM_Local-FF,3,31,0.9065795,429145768,13,42,28
Logistics,prob-8-0(extra),22,LM_Local-FF,4,31,0.9123539,429145768,13,42,28
Logistics,prob-10-0(extra),29,FF,1,45,259.8753411,65524424847,1505049,291733,-1
Logistics,prob-10-0(extra),29,FF,2,45,261.3259884,65422301192,1505049,291733,-1
Logistics,prob-10-0(extra),29,FF,3,45,261.3205021,65422301192,1505049,291733,-1
Logistics,prob-10-0(extra),29,FF,4,45,260.6603348,65422301192,1505049,291733,-1
Logistics,prob-10-0(extra),29,LM_Count,1,-1,-1.0,35070958301,1138044,385691,41
Logistics,prob-10-0(extra),29,LM_Local-FF,1,46,3.929294,1459516347,19,139,40
Logistics,prob-10-0(extra),29,LM_Local-FF,2,46,3.51481,1415507728,19,139,40
Logistics,prob-10-0(extra),29,LM_Local-FF,3,46,3.5249238,1427042592,19,139,40
Logistics,prob-10-0(extra),29,LM_Local-FF,4,46,3.4805678,1413410480,19,139,40
Logistics,prob-12-0(extra),29,FF,1,42,118.959208,30496297414,769344,116554,-1
Logistics,prob-12-0(extra),29,FF,2,42,119.5062766,30398886352,769344,116554,-1
Logistics,prob-12-0(extra),29,FF,3,42,119.6146176,30398886352,769344,116554,-1
Logistics,prob-12-0(extra),29,FF,4,42,119.6477423,30398886352,769344,116554,-1
Logistics,prob-12-0(extra),29,LM_Count,1,-1,-1.0,31354829141,1197937,350740,39
Logistics,prob-12-0(extra),29,LM_Local-FF,1,51,19.4843123,7520768371,429,994,38
Logistics,prob-12-0(extra),29,LM_Local-FF,2,51,19.2621252,7494850136,429,994,38
