domain,problem,problem_size,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks
Tyreworld,fixit-1,8,FF,1,19,3.3668145,238252399,305,192,-1
Tyreworld,fixit-1,8,FF,2,19,0.0183545,5887296,305,192,-1
Tyreworld,fixit-1,8,FF,3,19,0.0238624,5887296,305,192,-1
Tyreworld,fixit-1,8,FF,4,19,0.0178686,5887296,305,192,-1
Tyreworld,fixit-1,8,LM_Count,1,19,0.4085406,53950365,1536,1609,13
Tyreworld,fixit-1,8,LM_Count,2,19,0.1221855,34970680,1536,1609,13
Tyreworld,fixit-1,8,LM_Count,3,19,0.119727,34970680,1536,1609,13
Tyreworld,fixit-1,8,LM_Count,4,19,0.1268453,34970680,1536,1609,13
Tyreworld,fixit-1,8,LM_Local-FF,1,21,1.0455844,118994335,19,36,13
Tyreworld,fixit-1,8,LM_Local-FF,2,19,0.0455019,16443248,19,29,13
Tyreworld,fixit-1,8,LM_Local-FF,3,19,0.0506944,16508832,19,29,13
Tyreworld,fixit-1,8,LM_Local-FF,4,19,0.0451033,16508832,19,29,13
Tyreworld,fixit-2(extra),12,FF,1,30,3.3309187,558495565,16677,8581,-1
Tyreworld,fixit-2(extra),12,FF,2,30,1.3424667,429671640,16677,8581,-1
Tyreworld,fixit-2(extra),12,FF,3,30,1.3630307,429671640,16677,8581,-1
Tyreworld,fixit-2(extra),12,FF,4,30,1.3127388,429671640,16677,8581,-1
Tyreworld,fixit-2(extra),12,LM_Count,1,30,69.0362635,14638701301,458746,481695,22
Tyreworld,fixit-2(extra),12,LM_Count,2,30,67.242653,14625720168,458746,481695,22
Tyreworld,fixit-2(extra),12,LM_Count,3,30,68.0274835,14625720168,458746,481695,22
Tyreworld,fixit-2(extra),12,LM_Count,4,30,66.7506857,14625720168,458746,481695,22
Tyreworld,fixit-2(extra),12,LM_Local-FF,1,32,0.7805381,145418284,23,95,21
Tyreworld,fixit-2(extra),12,LM_Local-FF,2,32,0.301598,110857784,23,95,21
Tyreworld,fixit-2(extra),12,LM_Local-FF,3,32,0.2900846,110857784,23,95,21
Tyreworld,fixit-2(extra),12,LM_Local-FF,4,32,0.291901,110858088,23,95,21
Tyreworld,fixit-3(extra),16,FF,1,41,131.4419352,37627838239,1119754,532670,-1
Tyreworld,fixit-3(extra),16,FF,2,41,127.2353216,37498419672,1119754,532670,-1
Tyreworld,fixit-3(extra),16,FF,3,41,125.8815346,37498419672,1119754,532670,-1
Tyreworld,fixit-3(extra),16,FF,4,41,126.850687,37498419672,1119754,532670,-1
Tyreworld,fixit-3(extra),16,LM_Count,1,-1,-1.0,27812799731,1067657,581275,31
Tyreworld,fixit-3(extra),16,LM_Local-FF,1,43,0.8937599,223939340,27,87,29
Tyreworld,fixit-3(extra),16,LM_Local-FF,2,43,0.4798536,189375864,27,87,29
Tyreworld,fixit-3(extra),16,LM_Local-FF,3,43,0.4825844,189375864,27,87,29
Tyreworld,fixit-3(extra),16,LM_Local-FF,4,43,0.4842114,189375864,27,87,29
Tyreworld,fixit-4(extra),20,FF,1,-1,-1.0,117847667139,2841816,1155054,-1
Tyreworld,fixit-4(extra),20,LM_Count,1,-1,-1.0,25709561403,1027266,366294,40
Tyreworld,fixit-4(extra),20,LM_Local-FF,1,54,2.5620672,753807124,31,142,37
Tyreworld,fixit-4(extra),20,LM_Local-FF,2,54,1.8598394,717997568,31,142,37
Tyreworld,fixit-4(extra),20,LM_Local-FF,3,54,1.8358524,717538624,31,142,37
Tyreworld,fixit-4(extra),20,LM_Local-FF,4,54,1.8356169,717800960,31,142,37
Tyreworld,fixit-5(extra),24,FF,1,-1,-1.0,130722279646,2805541,894444,-1
Tyreworld,fixit-5(extra),24,LM_Count,1,-1,-1.0,22845862963,1024653,215512,49
Tyreworld,fixit-5(extra),24,LM_Local-FF,1,65,4.6188315,1458032696,35,200,45
Tyreworld,fixit-5(extra),24,LM_Local-FF,2,65,3.9645145,1423114640,35,200,45
Tyreworld,fixit-5(extra),24,LM_Local-FF,3,65,3.9626394,1423114640,35,200,45
Tyreworld,fixit-5(extra),24,LM_Local-FF,4,65,3.9451551,1422787024,35,200,45
Tyreworld,fixit-10,44,FF,1,-1,-1.0,132999099763,1441647,225087,-1
Tyreworld,fixit-10,44,LM_Count,1,-1,-1.0,15188309587,718723,26084,94
Tyreworld,fixit-10,44,LM_Local-FF,1,120,84.6880548,23622776970,55,1823,85
Tyreworld,fixit-10,44,LM_Local-FF,2,120,84.2249484,23578923448,55,1823,85
Tyreworld,fixit-10,44,LM_Local-FF,3,120,84.2276535,23589487656,55,1823,85
Tyreworld,fixit-10,44,LM_Local-FF,4,120,84.2402182,23592633960,55,1823,85
Tyreworld,fixit-20,84,FF,1,-1,-1.0,111060589173,411806,5971,-1
Tyreworld,fixit-20,84,LM_Count,1,-1,-1.0,12839798579,400756,6414,184
Tyreworld,fixit-20,84,LM_Local-FF,1,-1,-1.0,94128744554,490,6,165
Tyreworld,fixit-30,124,FF,1,-1,-1.0,66479768687,106382,980,-1
Tyreworld,fixit-30,124,LM_Count,1,-1,-1.0,13551997999,320550,2977,274
Tyreworld,fixit-30,124,LM_Local-FF,1,-1,-1.0,30783359434,374,5,245
