domain,problem,problem_size,compiled,planner,heuristic,run,n_steps,metric,time,bytes,n_eval,n_expand
zeno-travel,ztravel-1-2-3,6,false,ForwardPlanner{Nothing},HAdd,1,1,13564.0,0.002084928,1594208,6,1
zeno-travel,ztravel-1-2-3,6,false,ForwardPlanner{Nothing},HAdd,2,1,13564.0,0.001923857,1594208,6,1
zeno-travel,ztravel-1-2-3,6,false,ForwardPlanner{Nothing},HAdd,3,1,13564.0,0.001701532,1594208,6,1
zeno-travel,ztravel-1-2-3,6,true,ForwardPlanner{Nothing},HAdd,1,1,13564.0,2.340566883,303229558,6,1
zeno-travel,ztravel-1-2-3,6,true,ForwardPlanner{Nothing},HAdd,2,1,13564.0,0.001242078,679728,6,1
zeno-travel,ztravel-1-2-3,6,true,ForwardPlanner{Nothing},HAdd,3,1,13564.0,0.001208274,679728,6,1
zeno-travel,ztravel-1-2-3,6,true,ForwardPlanner{Nothing},HAdd,4,1,13564.0,0.001191459,679728,6,1
zeno-travel,ztravel-1-3-3,7,false,ForwardPlanner{Nothing},HAdd,1,6,6786.0,0.014139606,8337154,39,8
zeno-travel,ztravel-1-3-3,7,false,ForwardPlanner{Nothing},HAdd,2,6,6786.0,0.007369933,8237168,39,8
zeno-travel,ztravel-1-3-3,7,false,ForwardPlanner{Nothing},HAdd,3,6,6786.0,0.007250335,8237168,39,8
zeno-travel,ztravel-1-3-3,7,true,ForwardPlanner{Nothing},HAdd,1,6,6786.0,2.539073083,310539520,30,6
zeno-travel,ztravel-1-3-3,7,true,ForwardPlanner{Nothing},HAdd,2,6,6786.0,0.002093861,1110592,30,6
zeno-travel,ztravel-1-3-3,7,true,ForwardPlanner{Nothing},HAdd,3,6,6786.0,0.002088868,1110592,30,6
zeno-travel,ztravel-1-3-3,7,true,ForwardPlanner{Nothing},HAdd,4,6,6786.0,0.002044449,1110592,30,6
zeno-travel,ztravel-2-4-3,9,false,ForwardPlanner{Nothing},HAdd,1,7,7507.0,0.060645818,17519859,66,7
zeno-travel,ztravel-2-4-3,9,false,ForwardPlanner{Nothing},HAdd,2,7,7507.0,0.016391466,16997584,66,7
zeno-travel,ztravel-2-4-3,9,false,ForwardPlanner{Nothing},HAdd,3,7,7507.0,0.01577226,16997584,66,7
zeno-travel,ztravel-2-4-3,9,true,ForwardPlanner{Nothing},HAdd,1,7,4507.0,2.32846841,311550110,73,8
zeno-travel,ztravel-2-4-3,9,true,ForwardPlanner{Nothing},HAdd,2,7,4507.0,0.00565599,2985408,73,8
zeno-travel,ztravel-2-4-3,9,true,ForwardPlanner{Nothing},HAdd,3,7,4507.0,0.00568066,2985408,73,8
zeno-travel,ztravel-2-4-3,9,true,ForwardPlanner{Nothing},HAdd,4,7,4507.0,0.005676128,2985408,73,8
zeno-travel,ztravel-2-5-3,10,false,ForwardPlanner{Nothing},HAdd,1,10,24502.0,0.066431131,45768208,167,20
zeno-travel,ztravel-2-5-3,10,false,ForwardPlanner{Nothing},HAdd,2,10,24502.0,0.045752499,45768208,167,20
zeno-travel,ztravel-2-5-3,10,false,ForwardPlanner{Nothing},HAdd,3,10,24502.0,0.040962504,45768208,167,20
zeno-travel,ztravel-2-5-3,10,true,ForwardPlanner{Nothing},HAdd,1,10,16972.0,2.738412693,320786105,179,22
zeno-travel,ztravel-2-5-3,10,true,ForwardPlanner{Nothing},HAdd,2,10,16972.0,0.011023703,5563904,179,22
zeno-travel,ztravel-2-5-3,10,true,ForwardPlanner{Nothing},HAdd,3,10,16972.0,0.010450183,5563904,179,22
zeno-travel,ztravel-2-5-3,10,true,ForwardPlanner{Nothing},HAdd,4,10,16972.0,0.010486367,5563904,179,22
zeno-travel,ztravel-2-4-4,10,false,ForwardPlanner{Nothing},HAdd,1,13,5463.0,0.123141221,105718256,316,30
zeno-travel,ztravel-2-4-4,10,false,ForwardPlanner{Nothing},HAdd,2,13,5463.0,0.115519025,105718256,316,30
zeno-travel,ztravel-2-4-4,10,false,ForwardPlanner{Nothing},HAdd,3,13,5463.0,0.112805869,105718256,316,30
zeno-travel,ztravel-2-4-4,10,true,ForwardPlanner{Nothing},HAdd,1,13,5463.0,2.511601566,325672720,185,16
zeno-travel,ztravel-2-4-4,10,true,ForwardPlanner{Nothing},HAdd,2,13,5463.0,0.015276583,8412560,185,16
zeno-travel,ztravel-2-4-4,10,true,ForwardPlanner{Nothing},HAdd,3,13,5463.0,0.015718864,8412560,185,16
zeno-travel,ztravel-2-4-4,10,true,ForwardPlanner{Nothing},HAdd,4,13,5463.0,0.015564095,8412560,185,16
